x, eta, depth, slope, bedload_discharge
-36811.52721463,17.38403453,4.29814858,0.00020540,0.00060000
-32470.95085390,16.49246726,4.29814858,0.00020508,0.00059947
-28130.37449316,15.60372891,4.30270437,0.00020443,0.00059631
-23789.79813243,14.71781670,4.30727504,0.00020378,0.00059315
-19449.22177170,13.83470933,4.31183055,0.00020314,0.00059002
-15108.64541097,12.95436682,4.31634003,0.00020251,0.00058695
-10768.06905024,12.07673040,4.32077197,0.00020189,0.00058394
-6427.49268951,11.20172260,4.32509454,0.00020130,0.00058103
-2086.91632878,10.32924751,4.32927579,0.00020073,0.00057823
2253.66003196,9.45919115,4.33328402,0.00020018,0.00057556
6594.23639269,8.59142204,4.33708805,0.00019967,0.00057304
10934.81275342,7.72579192,4.34065760,0.00019920,0.00057069
15275.38911415,6.86213660,4.34396363,0.00019877,0.00056852
19615.96547488,6.00027704,4.34697871,0.00019837,0.00056655
23956.54183561,5.14002057,4.34967733,0.00019803,0.00056480
28297.11819634,4.28116215,4.35203632,0.00019773,0.00056327
32637.69455707,3.42348595,4.35403511,0.00019748,0.00056197
36978.27091781,2.56676690,4.35565605,0.00019729,0.00056093
41318.84727854,1.71077240,4.35688471,0.00019715,0.00056014
45659.42363927,0.85526415,4.35771004,0.00019707,0.00055961
50000.00000000,0.00000000,4.35812459,0.00009000,0.00055934
