x, eta, H, ksi, tau, qb
0.00000000,13.74413061,4.47680392,18.22093452,0.89049717,0.00036645
833.00000000,13.56121009,4.49809812,18.05930821,0.88068018,0.00036007
1666.00000000,13.38032066,4.51995712,17.90027777,0.87076284,0.00035367
2499.00000000,13.20146006,4.54239638,17.74385644,0.86074710,0.00034724
3332.00000000,13.02462185,4.56543483,17.59005668,0.85063381,0.00034079
4165.00000000,12.84979699,4.58909335,17.43889034,0.84042357,0.00033431
4998.00000000,12.67697474,4.61339388,17.29036862,0.83011709,0.00032782
5831.00000000,12.50614262,4.63835941,17.14450203,0.81971515,0.00032131
6664.00000000,12.33728582,4.66401466,17.00130048,0.80921830,0.00031478
7497.00000000,12.17038656,4.69038675,16.86077331,0.79862669,0.00030825
8330.00000000,12.00542389,4.71750556,16.72292945,0.78793997,0.00030169
9163.00000000,11.84237334,4.74540413,16.58777747,0.77715732,0.00029513
9996.00000000,11.68120666,4.77411912,16.45532578,0.76627731,0.00028856
10829.00000000,11.52189129,4.80369145,16.32558274,0.75529781,0.00028198
11662.00000000,11.36438969,4.83416716,16.19855685,0.74421581,0.00027539
12495.00000000,11.20865851,4.86559850,16.07425701,0.73302724,0.00026879
13328.00000000,11.05464747,4.89804529,15.95269276,0.72172667,0.00026217
14161.00000000,10.90229790,4.93157675,15.83387465,0.71030700,0.00025554
14994.00000000,10.75154027,4.96627450,15.71781477,0.69875874,0.00024890
15827.00000000,10.60227829,5.00225011,15.60452840,0.68706428,0.00024223
16660.00000000,10.45409201,5.03996745,15.49405946,0.67508555,0.00023546
17493.00000000,10.29997469,5.08701633,15.38699102,0.66027433,0.00022718
18326.00000000,10.01068601,5.28233975,15.29302577,0.60036159,0.00019472
19159.00000000,8.68939276,6.56657021,15.25596298,0.35512275,0.00008091
19992.00000000,6.94547191,8.29955941,15.24503133,0.20904701,0.00003086
20825.00000000,6.35831339,8.87220213,15.23051552,0.18027200,0.00002301
21658.00000000,6.10696415,9.10902831,15.21599246,0.16967200,0.00002032
22491.00000000,5.89525856,9.30710205,15.20236061,0.16138397,0.00001830
23324.00000000,5.69146618,9.49814788,15.18961406,0.15391819,0.00001654
24157.00000000,5.49226564,9.68540667,15.17767231,0.14706887,0.00001497
24990.00000000,5.29676579,9.86969499,15.16646078,0.14074493,0.00001358
25823.00000000,5.10438927,10.05152545,15.15591472,0.13487888,0.00001232
26656.00000000,4.91468539,10.23129218,15.14597758,0.12941650,0.00001119
27489.00000000,4.72729034,10.40930932,15.13659966,0.12431321,0.00001017
28322.00000000,4.54190535,10.58583158,15.12773693,0.11953179,0.00000924
29155.00000000,4.35828187,10.76106829,15.11935016,0.11504071,0.00000840
29988.00000000,4.17621073,10.93519348,15.11140420,0.11081301,0.00000763
30821.00000000,3.99551425,11.10835319,15.10386744,0.10682537,0.00000692
31654.00000000,3.81604025,11.28067105,15.09671130,0.10305745,0.00000628
32487.00000000,3.63765743,11.45225242,15.08990985,0.09949142,0.00000569
33320.00000000,3.46025177,11.62318775,15.08343951,0.09611148,0.00000515
34153.00000000,3.28372371,11.79355505,15.07727877,0.09290361,0.00000465
34986.00000000,3.10798587,11.96342204,15.07140791,0.08985526,0.00000420
35819.00000000,2.93296115,12.13284771,15.06580886,0.08695516,0.00000378
36652.00000000,2.75858128,12.30188373,15.06046501,0.08419314,0.00000339
37485.00000000,2.58478551,12.47057553,15.05536103,0.08155999,0.00000304
38318.00000000,2.41151959,12.63896321,15.05048280,0.07904734,0.00000271
39151.00000000,2.23873487,12.80708236,15.04581724,0.07664756,0.00000241
39984.00000000,2.06638757,12.97496465,15.04135222,0.07435367,0.00000214
40817.00000000,1.89443808,13.14263843,15.03707651,0.07215927,0.00000189
41650.00000000,1.72285044,13.31012923,15.03297967,0.07005846,0.00000166
42483.00000000,1.55159180,13.47746017,15.02905197,0.06804583,0.00000144
43316.00000000,1.38063197,13.64465238,15.02528435,0.06611634,0.00000125
44149.00000000,1.20994298,13.81172540,15.02166838,0.06426536,0.00000107
44982.00000000,1.03949864,13.97869751,15.01819615,0.06248858,0.00000091
45815.00000000,0.86927410,14.14558621,15.01486031,0.06078198,0.00000077
46648.00000000,0.69924532,14.31240862,15.01165394,0.05914182,0.00000063
47481.00000000,0.52938843,14.47918216,15.00857059,0.05756462,0.00000051
48314.00000000,0.35967886,14.64592535,15.00560421,0.05604709,0.00000041
49147.00000000,0.19008998,14.81265914,15.00274912,0.05458616,0.00000031
49980.00000000,0.02059089,14.97940911,15.00000000,0.05317888,0.00000023
