x, eta, H, tau, qb
0.00000000,126.16487491,0.73701799,0.21149983,0.01115826
100.00000000,124.74438824,0.73705207,0.21147701,0.01115594
200.00000000,123.32433927,0.73708616,0.21145419,0.01115362
300.00000000,121.90429031,0.73712021,0.21143141,0.01115130
400.00000000,120.48467842,0.73715426,0.21140861,0.01114898
500.00000000,119.06506657,0.73718824,0.21138588,0.01114667
600.00000000,117.64589073,0.73722223,0.21136314,0.01114436
700.00000000,116.22671495,0.73725611,0.21134048,0.01114205
800.00000000,114.80797369,0.73729000,0.21131781,0.01113975
900.00000000,113.38923251,0.73732375,0.21129525,0.01113745
1000.00000000,111.97092396,0.73735750,0.21127268,0.01113516
1100.00000000,110.55261552,0.73739108,0.21125023,0.01113287
1200.00000000,109.13473738,0.73742467,0.21122778,0.01113059
1300.00000000,107.71685937,0.73745805,0.21120547,0.01112832
1400.00000000,106.29940893,0.73749144,0.21118316,0.01112606
1500.00000000,104.88195865,0.73752459,0.21116101,0.01112380
1600.00000000,103.46493278,0.73755775,0.21113886,0.01112155
1700.00000000,102.04790708,0.73759064,0.21111689,0.01111932
1800.00000000,100.63130225,0.73762354,0.21109492,0.01111709
1900.00000000,99.21469760,0.73765613,0.21107316,0.01111488
2000.00000000,97.79850986,0.73768873,0.21105140,0.01111267
2100.00000000,96.38232232,0.73772099,0.21102986,0.01111048
2200.00000000,94.96654732,0.73775326,0.21100832,0.01110829
2300.00000000,93.55077254,0.73778517,0.21098703,0.01110613
2400.00000000,92.13540552,0.73781708,0.21096574,0.01110396
2500.00000000,90.72003875,0.73784860,0.21094471,0.01110183
2600.00000000,89.30507458,0.73788012,0.21092369,0.01109969
2700.00000000,87.89011067,0.73791121,0.21090295,0.01109759
2800.00000000,86.47554381,0.73794231,0.21088221,0.01109548
2900.00000000,85.06097723,0.73797295,0.21086178,0.01109340
3000.00000000,83.64680176,0.73800360,0.21084135,0.01109133
3100.00000000,82.23262658,0.73803376,0.21082125,0.01108929
3200.00000000,80.81883621,0.73806392,0.21080114,0.01108725
3300.00000000,79.40504613,0.73809357,0.21078139,0.01108524
3400.00000000,77.99163418,0.73812322,0.21076163,0.01108324
