x, eta, qb, H, tau
   0.00000,  19.56711,   0.00096,   3.58152,   1.54121
3367.35784,  18.37164,   0.00091,   3.61545,   1.51242
6734.71569,  17.24286,   0.00087,   3.65210,   1.48221
10102.07353,  16.11667,   0.00082,   3.69029,   1.45170
13469.43138,  15.05718,   0.00078,   3.73142,   1.41987
16836.78922,  14.00246,   0.00073,   3.77457,   1.38759
20204.14707,  13.01465,   0.00069,   3.82094,   1.35412
23571.50491,  12.03340,   0.00065,   3.86996,   1.32003
26938.86276,  11.11947,   0.00061,   3.92254,   1.28488
30306.22060,  10.21343,   0.00056,   3.97857,   1.24894
33673.57845,   9.37530,   0.00052,   4.03861,   1.21209
37040.93629,   8.54589,   0.00048,   4.10314,   1.17426
40408.29414,   7.78523,   0.00045,   4.17223,   1.13569
43775.65198,   7.03350,   0.00041,   4.24729,   1.09591
47143.00983,   6.35161,   0.00037,   4.32754,   1.05564
50510.36767,   5.67817,   0.00034,   4.41587,   1.01383
53877.72552,   5.07600,   0.00030,   4.51013,   0.97190
57245.08336,   4.48087,   0.00027,   4.61567,   0.92796
60612.44121,   3.95897,   0.00024,   4.72784,   0.88445
63979.79905,   3.44148,   0.00021,   4.85646,   0.83822
67347.15690,   3.00000,   0.00018,   4.99200,   0.79332
67362.15690,   0.00000,   0.00443,   2.63554,   2.84615
