Position, Depth, FlowVelocity, ShearStress, BedElevation, WaterSurfaceElev
36000.00000,   8.41001,   0.67776,   0.94910,  21.75000,  30.16001
35000.00000,   8.17065,   0.69762,   1.00552,  22.00000,  30.17065
34000.00000,   7.93226,   0.71858,   1.06687,  22.25000,  30.18226
33000.00000,   7.69498,   0.74074,   1.13368,  22.50000,  30.19498
32000.00000,   7.45893,   0.76418,   1.20657,  22.75000,  30.20893
31000.00000,   7.22429,   0.78901,   1.28622,  23.00000,  30.22429
30000.00000,   6.99122,   0.81531,   1.37340,  23.25000,  30.24122
29000.00000,   6.75996,   0.84320,   1.46898,  23.50000,  30.25996
28000.00000,   6.53073,   0.87280,   1.57391,  23.75000,  30.28073
27000.00000,   6.30383,   0.90421,   1.68925,  24.00000,  30.30383
26000.00000,   6.07959,   0.93756,   1.81617,  24.25000,  30.32959
25000.00000,   5.85840,   0.97296,   1.95590,  24.50000,  30.35840
24000.00000,   5.64069,   1.01051,   2.10979,  24.75000,  30.39069
23000.00000,   5.42700,   1.05030,   2.27921,  25.00000,  30.42700
22000.00000,   5.21792,   1.09239,   2.46552,  25.25000,  30.46792
21000.00000,   5.01414,   1.13679,   2.67000,  25.50000,  30.51414
20000.00000,   4.81644,   1.18345,   2.89369,  25.75000,  30.56644
19000.00000,   4.62569,   1.23225,   3.13726,  26.00000,  30.62569
18000.00000,   4.44288,   1.28295,   3.40076,  26.25000,  30.69288
17000.00000,   4.26903,   1.33520,   3.68337,  26.50000,  30.76903
16000.00000,   4.10525,   1.38846,   3.98313,  26.75000,  30.85525
15000.00000,   3.95262,   1.44208,   4.29669,  27.00000,  30.95262
14000.00000,   3.81214,   1.49522,   4.61920,  27.25000,  31.06214
13000.00000,   3.68465,   1.54696,   4.94437,  27.50000,  31.18465
12000.00000,   3.57075,   1.59630,   5.26485,  27.75000,  31.32075
11000.00000,   3.47066,   1.64234,   5.57288,  28.00000,  31.47066
10000.00000,   3.38424,   1.68428,   5.86116,  28.25000,  31.63424
9000.00000,   3.31090,   1.72159,   6.12369,  28.50000,  31.81090
8000.00000,   3.24971,   1.75400,   6.35645,  28.75000,  31.99971
7000.00000,   3.19948,   1.78154,   6.55762,  29.00000,  32.19948
6000.00000,   3.15882,   1.80447,   6.72751,  29.25000,  32.40882
5000.00000,   3.12634,   1.82322,   6.86805,  29.50000,  32.62634
4000.00000,   3.10066,   1.83832,   6.98228,  29.75000,  32.85066
3000.00000,   3.08054,   1.85032,   7.07376,  30.00000,  33.08054
2000.00000,   3.06490,   1.85977,   7.14613,  30.25000,  33.31490
1000.00000,   3.05281,   1.86713,   7.20284,  30.50000,  33.55281
   0.00000,   3.04352,   1.87283,   7.24692,  30.75000,  33.79352
