x, eta, depth, slope, bedload_discharge
-20851.60436025,11.79806153,4.30200120,0.00020485,0.00060000
-17309.02414224,11.07235812,4.30200120,0.00020283,0.00059679
-13766.44392422,10.36095946,4.33064636,0.00019873,0.00057732
-10223.86370621,9.66434823,4.36107696,0.00019449,0.00055745
-6681.28348820,8.98293615,4.39326593,0.00019016,0.00053733
-3138.70327019,8.31705169,4.42715461,0.00018574,0.00051707
403.87694783,7.66692677,4.46264437,0.00018127,0.00049684
3946.45716584,7.03268251,4.49958672,0.00017679,0.00047677
7489.03738385,6.41431423,4.53777217,0.00017233,0.00045705
11031.61760186,5.81167592,4.57691811,0.00016793,0.00043784
14574.19781988,5.22446457,4.61665649,0.00016365,0.00041931
18116.77803789,4.65220507,4.65652252,0.00015952,0.00040167
21659.35825590,4.09423643,4.69594636,0.00015560,0.00038509
25201.93847391,3.54970043,4.73425029,0.00015196,0.00036976
28744.51869193,3.01753413,4.77065455,0.00014865,0.00035587
32287.09890994,2.49646758,4.80429533,0.00014572,0.00034358
35829.67912795,1.98502851,4.83425737,0.00014324,0.00033306
39372.25934596,1.48155522,4.85962240,0.00014125,0.00032446
42914.83956398,0.98421868,4.87953116,0.00013979,0.00031790
46457.41978199,0.49105394,4.89325331,0.00013891,0.00031346
50000.00000000,0.00000000,4.90025537,0.00009000,0.00031123
