x, eta, H, tau, qb
0.00000000,118.59794243,0.73730551,0.21130744,0.01113869
100.00000000,117.17930064,0.73761891,0.21109801,0.01111740
200.00000000,115.76467378,0.73794170,0.21088262,0.01109552
300.00000000,114.35015939,0.73825596,0.21067322,0.01107426
400.00000000,112.93954347,0.73857962,0.21045787,0.01105241
500.00000000,111.52915211,0.73889446,0.21024869,0.01103120
600.00000000,110.12253947,0.73921866,0.21003359,0.01100941
700.00000000,108.71626267,0.73953379,0.20982482,0.01098827
800.00000000,107.31364199,0.73985821,0.20961020,0.01096655
900.00000000,105.91146716,0.74017333,0.20940203,0.01094550
1000.00000000,104.51282345,0.74049765,0.20918810,0.01092388
1100.00000000,103.11473390,0.74081247,0.20898073,0.01090293
1200.00000000,101.72004851,0.74113635,0.20876770,0.01088143
1300.00000000,100.32602347,0.74145057,0.20856132,0.01086062
1400.00000000,98.93527409,0.74177367,0.20834941,0.01083925
1500.00000000,97.54528871,0.74208698,0.20814422,0.01081858
1600.00000000,96.15844937,0.74240896,0.20793364,0.01079739
1700.00000000,94.77247475,0.74272105,0.20772983,0.01077688
1800.00000000,93.38951586,0.74304157,0.20752081,0.01075587
1900.00000000,92.00751904,0.74335213,0.20731857,0.01073554
2000.00000000,90.62840739,0.74367084,0.20711131,0.01071473
2100.00000000,89.25035144,0.74397956,0.20691083,0.01069462
2200.00000000,87.87505020,0.74429611,0.20670556,0.01067403
2300.00000000,86.50089421,0.74460267,0.20650704,0.01065413
2400.00000000,85.12936298,0.74491672,0.20630395,0.01063379
2500.00000000,83.75906208,0.74522080,0.20610759,0.01061414
2600.00000000,82.39125691,0.74553199,0.20590690,0.01059406
2700.00000000,81.02476236,0.74583327,0.20571288,0.01057466
2800.00000000,79.66063577,0.74614125,0.20551481,0.01055488
2900.00000000,78.29789497,0.74643940,0.20532332,0.01053576
3000.00000000,76.93739598,0.74674382,0.20512806,0.01051627
3100.00000000,75.57835253,0.74703853,0.20493930,0.01049745
3200.00000000,74.22142670,0.74733904,0.20474706,0.01047829
3300.00000000,72.86602046,0.74762997,0.20456120,0.01045977
3400.00000000,71.51260992,0.74792621,0.20437220,0.01044096
3500.00000000,70.16077707,0.74821305,0.20418943,0.01042277
3600.00000000,68.81082057,0.74850468,0.20400385,0.01040432
3700.00000000,67.46249367,0.74878709,0.20382436,0.01038649
3800.00000000,66.11592661,0.74907377,0.20364240,0.01036841
3900.00000000,64.77103466,0.74935143,0.20346637,0.01035094
4000.00000000,63.42778916,0.74963280,0.20328822,0.01033327
4100.00000000,62.08625768,0.74990539,0.20311584,0.01031618
4200.00000000,60.74626260,0.75018112,0.20294169,0.01029892
4300.00000000,59.40801373,0.75044832,0.20277312,0.01028223
4400.00000000,58.07119475,0.75071807,0.20260316,0.01026540
4500.00000000,56.73614727,0.75097956,0.20243859,0.01024912
4600.00000000,55.40242694,0.75124299,0.20227299,0.01023275
4700.00000000,54.07049642,0.75149846,0.20211258,0.01021689
4800.00000000,52.73979421,0.75175525,0.20195153,0.01020099
4900.00000000,51.41089305,0.75200437,0.20179546,0.01018558
5000.00000000,50.08312542,0.75225420,0.20163912,0.01017015
5100.00000000,48.75716298,0.75249668,0.20148755,0.01015520
5200.00000000,47.43224345,0.75273923,0.20133609,0.01014027
5300.00000000,46.10912612,0.75297475,0.20118918,0.01012580
5400.00000000,44.78696535,0.75320972,0.20104276,0.01011138
5500.00000000,43.46659664,0.75343798,0.20090067,0.01009739
5600.00000000,42.14710248,0.75366507,0.20075945,0.01008349
5700.00000000,40.82938315,0.75388579,0.20062233,0.01007001
5800.00000000,39.51246074,0.75410469,0.20048647,0.01005665
5900.00000000,38.19728891,0.75431758,0.20035447,0.01004368
6000.00000000,36.88284074,0.75452803,0.20022411,0.01003088
6100.00000000,35.57011195,0.75473279,0.20009738,0.01001844
6200.00000000,34.25803797,0.75493451,0.19997264,0.01000620
6300.00000000,32.94764535,0.75513089,0.19985132,0.00999429
6400.00000000,31.63784303,0.75532361,0.19973236,0.00998263
6500.00000000,30.32967738,0.75551133,0.19961658,0.00997128
6600.00000000,29.02204183,0.75569481,0.19950351,0.00996020
6700.00000000,27.71599174,0.75587362,0.19939341,0.00994942
6800.00000000,26.41041576,0.75604761,0.19928635,0.00993893
6900.00000000,25.10636775,0.75621727,0.19918205,0.00992873
7000.00000000,23.80274197,0.75638155,0.19908112,0.00991885
7100.00000000,22.50058059,0.75654181,0.19898274,0.00990923
7200.00000000,21.19879356,0.75669615,0.19888805,0.00989997
7300.00000000,19.89840152,0.75684679,0.19879569,0.00989094
7400.00000000,18.59833978,0.75699101,0.19870733,0.00988230
7500.00000000,17.29959809,0.75713181,0.19862112,0.00987388
7600.00000000,16.00114632,0.75726570,0.19853919,0.00986588
7700.00000000,14.70393440,0.75739647,0.19845921,0.00985807
7800.00000000,13.40697551,0.75751986,0.19838379,0.00985071
7900.00000000,12.11117132,0.75764040,0.19831015,0.00984352
8000.00000000,10.81558655,0.75775313,0.19824132,0.00983680
8100.00000000,9.52106673,0.75786326,0.19817411,0.00983025
8200.00000000,8.22673579,0.75796518,0.19811194,0.00982418
8300.00000000,6.93337580,0.75806474,0.19805123,0.00981827
8400.00000000,5.64017696,0.75815573,0.19799578,0.00981286
8500.00000000,4.34785119,0.75824456,0.19794166,0.00980758
8600.00000000,3.05566140,0.75832449,0.19789297,0.00980284
8700.00000000,1.76424333,0.75840246,0.19784551,0.00979821
8800.00000000,0.47293836,0.75847124,0.19780365,0.00979414
8900.00000000,-0.81769931,0.75853823,0.19776289,0.00979017
9000.00000000,-2.10824476,0.75859577,0.19772789,0.00978676
9100.00000000,-3.39823001,0.75865166,0.19769390,0.00978345
9200.00000000,-4.68814218,0.75869790,0.19766579,0.00978071
9300.00000000,-5.97760349,0.75874260,0.19763862,0.00977806
9400.00000000,-7.26700944,0.75877748,0.19761742,0.00977600
9500.00000000,-8.55607565,0.75881092,0.19759710,0.00977402
9600.00000000,-9.84510313,0.75883441,0.19758283,0.00977263
9700.00000000,-11.13390336,0.75885652,0.19756940,0.00977132
9800.00000000,-12.42268067,0.75886860,0.19756206,0.00977061
9900.00000000,-13.71134413,0.75887934,0.19755554,0.00976997
10000.00000000,-15.00000000,0.75888000,0.19755513,0.00976994
