x, eta, qb, H, tau
   0.00000,  15.69487,   0.00096,   3.57921,   1.54320
2493.47249,  14.80793,   0.00092,   3.61071,   1.51639
4986.94498,  13.96702,   0.00088,   3.64452,   1.48839
7480.41748,  13.12772,   0.00083,   3.67968,   1.46008
9973.88997,  12.33451,   0.00079,   3.71729,   1.43068
12467.36246,  11.54427,   0.00075,   3.75666,   1.40085
14960.83495,  10.80032,   0.00071,   3.79869,   1.37003
17454.30744,  10.06044,   0.00067,   3.84296,   1.33864
19947.77994,   9.36719,   0.00063,   3.89014,   1.30637
22441.25243,   8.67882,   0.00059,   3.94020,   1.27339
24934.72492,   8.03756,   0.00055,   3.99344,   1.23966
27428.19741,   7.40167,   0.00052,   4.05039,   1.20504
29921.66990,   6.81353,   0.00048,   4.11088,   1.16984
32415.14240,   6.23088,   0.00044,   4.17617,   1.13355
34908.61489,   5.69680,   0.00041,   4.24538,   1.09689
37402.08738,   5.16788,   0.00037,   4.32095,   1.05886
39895.55987,   4.68861,   0.00034,   4.40083,   1.02077
42389.03236,   4.21360,   0.00031,   4.48931,   0.98093
44882.50486,   3.78965,   0.00028,   4.58243,   0.94147
47375.97735,   3.36833,   0.00025,   4.68758,   0.89970
49869.44984,   3.00000,   0.00022,   4.79737,   0.85899
49884.44984,   0.00000,   0.00730,   2.38436,   3.47738
