x, eta, H, tau, qb
0.00000000,88.88202067,0.74090104,0.20892244,0.01089705
100.00000000,87.48619227,0.74490127,0.20631394,0.01063479
200.00000000,86.14001103,0.74900688,0.20368483,0.01037263
300.00000000,84.79395028,0.75315949,0.20107405,0.01011446
400.00000000,83.49691866,0.75742457,0.19844203,0.00985639
500.00000000,82.20013101,0.76169601,0.19585515,0.00960493
600.00000000,80.95125610,0.76608500,0.19324696,0.00935360
700.00000000,79.70274649,0.77043585,0.19071014,0.00911128
800.00000000,78.50056227,0.77490685,0.18815253,0.00886914
900.00000000,77.29885724,0.77929239,0.18569116,0.00863817
1000.00000000,76.14146082,0.78379785,0.18321010,0.00840741
1100.00000000,74.98464500,0.78816905,0.18084799,0.00818967
1200.00000000,73.86974554,0.79265690,0.17846785,0.00797219
1300.00000000,72.75551114,0.79696195,0.17622650,0.00776919
1400.00000000,71.68048970,0.80137734,0.17396923,0.00756652
1500.00000000,70.60619734,0.80556351,0.17186710,0.00737939
1600.00000000,69.56817517,0.80985096,0.16975152,0.00719265
1700.00000000,68.53092348,0.81386698,0.16780346,0.00702211
1800.00000000,67.52683605,0.81797294,0.16584462,0.00685200
1900.00000000,66.52353709,0.82177145,0.16406142,0.00669837
2000.00000000,65.55021062,0.82564700,0.16227014,0.00654521
2100.00000000,64.57766795,0.82918704,0.16065826,0.00640840
2200.00000000,63.63189515,0.83279046,0.15904091,0.00627210
2300.00000000,62.68688090,0.83603958,0.15760244,0.00615170
2400.00000000,61.76549267,0.83933853,0.15616086,0.00603183
2500.00000000,60.84482038,0.84227438,0.15489374,0.00592711
2600.00000000,59.94475046,0.84524736,0.15362550,0.00582291
2700.00000000,59.04534050,0.84785846,0.15252384,0.00573290
2800.00000000,58.16368068,0.85049545,0.15142268,0.00564340
2900.00000000,57.28261577,0.85278108,0.15047740,0.00556694
3000.00000000,56.41665975,0.85508322,0.14953379,0.00549097
3100.00000000,55.55122877,0.85705258,0.14873328,0.00542679
3200.00000000,54.69850390,0.85903102,0.14793523,0.00536306
3300.00000000,53.84623316,0.86070159,0.14726611,0.00530982
3400.00000000,53.00451981,0.86237576,0.14659989,0.00525698
3500.00000000,52.16319185,0.86377136,0.14604781,0.00521334
3600.00000000,51.33053124,0.86516679,0.14549876,0.00517005
3700.00000000,50.49819184,0.86631541,0.14504903,0.00513468
3800.00000000,49.67288372,0.86746151,0.14460226,0.00509962
3900.00000000,48.84783878,0.86839325,0.14424050,0.00507130
4000.00000000,48.02843068,0.86932122,0.14388149,0.00504324
4100.00000000,47.20923473,0.87006646,0.14359409,0.00502081
4200.00000000,46.39450490,0.87080747,0.14330914,0.00499861
4300.00000000,45.57994348,0.87139549,0.14308360,0.00498107
4400.00000000,44.76887957,0.87197931,0.14286017,0.00496370
4500.00000000,43.95794739,0.87243717,0.14268529,0.00495012
4600.00000000,43.14972263,0.87289119,0.14251218,0.00493670
4700.00000000,42.34159948,0.87324314,0.14237819,0.00492631
4800.00000000,41.53554822,0.87359177,0.14224565,0.00491605
4900.00000000,40.72957428,0.87385896,0.14214419,0.00490819
5000.00000000,39.92516787,0.87412337,0.14204388,0.00490043
5100.00000000,39.12081955,0.87432375,0.14196794,0.00489456
5200.00000000,38.31764382,0.87452187,0.14189290,0.00488876
5300.00000000,37.51451118,0.87467036,0.14183670,0.00488442
5400.00000000,36.71224586,0.87481707,0.14178120,0.00488013
5500.00000000,35.91001213,0.87492582,0.14174009,0.00487696
5600.00000000,35.10841278,0.87503320,0.14169951,0.00487382
5700.00000000,34.30683629,0.87511192,0.14166976,0.00487153
5800.00000000,33.50571867,0.87518962,0.14164042,0.00486926
5900.00000000,32.70461742,0.87524597,0.14161914,0.00486762
6000.00000000,31.90384441,0.87530155,0.14159816,0.00486600
6100.00000000,31.10308298,0.87534144,0.14158311,0.00486484
6200.00000000,30.30255378,0.87538076,0.14156827,0.00486370
6300.00000000,29.50203268,0.87540867,0.14155774,0.00486288
6400.00000000,28.70167409,0.87543617,0.14154736,0.00486208
6500.00000000,27.90132110,0.87545549,0.14154007,0.00486152
6600.00000000,27.10108059,0.87547453,0.14153289,0.00486097
6700.00000000,26.30084391,0.87548775,0.14152790,0.00486058
6800.00000000,25.50068424,0.87550078,0.14152299,0.00486020
6900.00000000,24.70052716,0.87550973,0.14151961,0.00485994
7000.00000000,23.90042223,0.87551855,0.14151628,0.00485969
7100.00000000,23.10031904,0.87552455,0.14151402,0.00485951
