x, eta, H, ksi, tau, qb
0.00000000,14.47248025,4.47331358,18.94579383,0.89212538,0.00036751
833.00000000,14.29240372,4.49092807,18.78333180,0.88397595,0.00036221
1666.00000000,14.11410580,4.50891813,18.62302392,0.87576156,0.00035689
2499.00000000,13.93758515,4.52729320,18.46487835,0.86748324,0.00035156
3332.00000000,13.76284180,4.54606071,18.30890252,0.85914298,0.00034621
4165.00000000,13.58987548,4.56522759,18.15510308,0.85074296,0.00034085
4998.00000000,13.41868435,4.58480158,18.00348593,0.84228502,0.00033549
5831.00000000,13.24926457,4.60479179,17.85405636,0.83377053,0.00033012
6664.00000000,13.08161058,4.62520854,17.70681913,0.82520052,0.00032474
7497.00000000,12.91571561,4.64606289,17.56177850,0.81657594,0.00031935
8330.00000000,12.75157189,4.66736637,17.41893826,0.80789776,0.00031397
9163.00000000,12.58917076,4.68913093,17.27830169,0.79916699,0.00030858
9996.00000000,12.42850243,4.71136917,17.13987160,0.79038457,0.00030319
10829.00000000,12.26955577,4.73409456,17.00365033,0.78155131,0.00029780
11662.00000000,12.11231820,4.75732162,16.86963982,0.77266785,0.00029242
12495.00000000,11.95677560,4.78106604,16.73784165,0.76373464,0.00028703
13328.00000000,11.80291227,4.80534478,16.60825705,0.75475194,0.00028165
14161.00000000,11.65071078,4.83017623,16.48088701,0.74571981,0.00027628
14994.00000000,11.50015190,4.85558040,16.35573230,0.73663802,0.00027091
15827.00000000,11.35121433,4.88157920,16.23279353,0.72750607,0.00026555
16660.00000000,11.20387453,4.90819671,16.11207124,0.71832310,0.00026019
17493.00000000,11.05810643,4.93545959,15.99356602,0.70908782,0.00025484
18326.00000000,10.91388106,4.96339749,15.87727855,0.69979848,0.00024950
19159.00000000,10.77116620,4.99204357,15.76320977,0.69045270,0.00024416
19992.00000000,10.62992578,5.02143527,15.65136105,0.68104741,0.00023882
20825.00000000,10.49011898,5.05161534,15.54173432,0.67157862,0.00023349
21658.00000000,10.35168914,5.08264400,15.43433314,0.66203740,0.00022816
22491.00000000,10.21410997,5.11508816,15.32919814,0.65224725,0.00022274
23324.00000000,10.05688252,5.17098899,15.22787151,0.63513132,0.00021336
24157.00000000,9.29534007,5.86959063,15.16493070,0.46320301,0.00012701
24990.00000000,6.58149766,8.58492359,15.16642125,0.19156605,0.00002600
25823.00000000,5.36361330,9.79506210,15.15867540,0.14303249,0.00001408
26656.00000000,5.07502295,10.07346994,15.14849289,0.13418161,0.00001218
27489.00000000,4.86717333,10.27156514,15.13873848,0.12823396,0.00001095
28322.00000000,4.66753294,10.46202004,15.12955298,0.12285596,0.00000988
29155.00000000,4.47169432,10.64920066,15.12089498,0.11787832,0.00000893
29988.00000000,4.27893856,10.83378175,15.11272031,0.11324698,0.00000807
30821.00000000,4.08882025,11.01616968,15.10498993,0.10892167,0.00000729
31654.00000000,3.90098409,11.19668518,15.09766927,0.10486933,0.00000659
32487.00000000,3.71513814,11.37558947,15.09072761,0.10106225,0.00000595
33320.00000000,3.53103915,11.55309830,15.08413745,0.09747697,0.00000536
34153.00000000,3.34848213,11.72939194,15.07787407,0.09409333,0.00000483
34986.00000000,3.16729263,11.90462249,15.07191512,0.09089390,0.00000435
35819.00000000,2.98732095,12.07891938,15.06624033,0.08786344,0.00000391
36652.00000000,2.80843762,12.25239364,15.06083126,0.08498856,0.00000350
37485.00000000,2.63052994,12.42514114,15.05567108,0.08225739,0.00000313
38318.00000000,2.45349915,12.59724521,15.05074437,0.07965936,0.00000279
39151.00000000,2.27725823,12.76877872,15.04603695,0.07718501,0.00000248
39984.00000000,2.10173004,12.93980577,15.04153581,0.07482583,0.00000220
40817.00000000,1.92684583,13.11038308,15.03722892,0.07257412,0.00000193
41650.00000000,1.75254397,13.28056120,15.03310517,0.07042289,0.00000170
42483.00000000,1.57876885,13.45038543,15.02915428,0.06836581,0.00000148
43316.00000000,1.40546993,13.61989679,15.02536672,0.06639705,0.00000128
44149.00000000,1.23260089,13.78913272,15.02173361,0.06451129,0.00000110
44982.00000000,1.06011883,13.95812788,15.01824672,0.06270363,0.00000093
45815.00000000,0.88798343,14.12691493,15.01489836,0.06096957,0.00000078
46648.00000000,0.71615609,14.29552530,15.01168138,0.05930491,0.00000065
47481.00000000,0.54459886,14.46399024,15.00858910,0.05770578,0.00000052
48314.00000000,0.37327309,14.63234217,15.00561526,0.05616856,0.00000042
49147.00000000,0.20213736,14.80061669,15.00275405,0.05468983,0.00000032
49980.00000000,0.03114403,14.96885597,15.00000000,0.05326639,0.00000023
