x, eta, qb, H, tau
   0.00000,   5.51230,   0.00053,   4.02566,   1.21990
 500.23332,   5.37494,   0.00053,   4.02566,   1.21990
1000.46663,   5.24988,   0.00053,   4.02566,   1.21990
1500.69995,   5.12483,   0.00053,   4.02566,   1.21990
2000.93326,   4.99977,   0.00053,   4.02566,   1.21990
2501.16658,   4.87471,   0.00053,   4.02566,   1.21990
3001.39989,   4.74965,   0.00053,   4.02566,   1.21990
3501.63321,   4.62459,   0.00053,   4.02566,   1.21990
4001.86652,   4.49953,   0.00053,   4.02566,   1.21990
4502.09984,   4.37448,   0.00053,   4.02566,   1.21990
5002.33315,   4.24942,   0.00053,   4.02566,   1.21990
5502.56647,   4.12436,   0.00053,   4.02566,   1.21990
6002.79978,   3.99930,   0.00053,   4.02566,   1.21990
6503.03310,   3.87424,   0.00053,   4.02566,   1.21990
7003.26641,   3.74918,   0.00053,   4.02566,   1.21990
7503.49973,   3.62413,   0.00053,   4.02566,   1.21990
8003.73304,   3.49907,   0.00053,   4.02566,   1.21990
8503.96636,   3.37401,   0.00053,   4.02566,   1.21990
9004.19967,   3.24895,   0.00053,   4.02566,   1.21990
9504.43299,   3.12389,   0.00053,   4.02566,   1.21990
10004.66630,   3.00000,   0.00053,   4.02566,   1.21990
10019.66630,   0.00000,   0.10630,   1.39562,  10.14995
