x, eta, H, tau, qb
0.00000000,102.26911259,0.73856948,0.21046461,0.01105310
100.00000000,100.85854779,0.74017041,0.20940396,0.01094569
200.00000000,99.46827048,0.74178815,0.20833992,0.01083830
300.00000000,98.07801395,0.74341900,0.20727506,0.01073117
400.00000000,96.70801601,0.74506722,0.20620673,0.01062406
500.00000000,95.33806009,0.74672615,0.20513939,0.01051740
600.00000000,93.98829908,0.74840300,0.20406853,0.01041075
700.00000000,92.63860161,0.75008803,0.20300046,0.01030474
800.00000000,91.30900075,0.75179147,0.20192883,0.01019874
900.00000000,89.97948511,0.75350043,0.20086182,0.01009357
1000.00000000,88.66993343,0.75522823,0.19979122,0.00998840
1100.00000000,87.36048869,0.75695879,0.19872707,0.00988423
1200.00000000,86.07084140,0.75870856,0.19765931,0.00978008
1300.00000000,84.78132264,0.76045819,0.19659981,0.00967709
1400.00000000,83.51140163,0.76222737,0.19553672,0.00957412
1500.00000000,82.24163045,0.76399340,0.19448368,0.00947249
1600.00000000,80.99122488,0.76577922,0.19342706,0.00937088
1700.00000000,79.74099002,0.76755880,0.19238227,0.00927076
1800.00000000,78.50985720,0.76935835,0.19133393,0.00917067
1900.00000000,77.27891540,0.77114849,0.19029916,0.00907223
2000.00000000,76.06678171,0.77295869,0.18926090,0.00897381
2100.00000000,74.85485861,0.77475624,0.18823789,0.00887718
2200.00000000,73.66142063,0.77657386,0.18721147,0.00878059
2300.00000000,72.46821193,0.77837552,0.18620193,0.00868593
2400.00000000,71.29313767,0.78019720,0.18518906,0.00859130
2500.00000000,70.11831037,0.78199957,0.18419466,0.00849873
2600.00000000,68.96124065,0.78382181,0.18319703,0.00840620
2700.00000000,67.80443443,0.78562139,0.18221937,0.00831585
2800.00000000,66.66498435,0.78744059,0.18123861,0.00822554
2900.00000000,65.52581307,0.78923375,0.18027924,0.00813752
3000.00000000,64.40357369,0.79104622,0.17931691,0.00804955
3100.00000000,63.28162702,0.79282930,0.17837731,0.00796396
3200.00000000,62.17616697,0.79463128,0.17743490,0.00787842
3300.00000000,61.07101210,0.79640056,0.17651649,0.00779536
3400.00000000,59.98187944,0.79818824,0.17559540,0.00771235
3500.00000000,58.89306288,0.79993997,0.17469949,0.00763189
3600.00000000,57.81978694,0.80170953,0.17380108,0.00755149
3700.00000000,56.74683639,0.80343997,0.17292890,0.00747371
