x, eta, H, tau, qb
0.00000000,136.47142005,0.73719399,0.21138204,0.01114628
100.00000000,135.05206306,0.73740426,0.21124142,0.01113198
200.00000000,133.63540244,0.73761483,0.21110074,0.01111768
300.00000000,132.21874219,0.73782538,0.21096020,0.01110340
400.00000000,130.80477482,0.73803623,0.21081960,0.01108912
500.00000000,129.39080821,0.73824686,0.21067928,0.01107488
600.00000000,127.97952841,0.73845778,0.21053890,0.01106063
700.00000000,126.56824973,0.73866828,0.21039893,0.01104644
800.00000000,125.15964921,0.73887907,0.21025890,0.01103224
900.00000000,123.75105019,0.73908923,0.21011942,0.01101810
1000.00000000,122.34511808,0.73929968,0.20997988,0.01100397
1100.00000000,120.93918784,0.73950931,0.20984103,0.01098991
1200.00000000,119.53591072,0.73971922,0.20970211,0.01097585
1300.00000000,118.13263583,0.73992809,0.20956401,0.01096188
1400.00000000,116.73199769,0.74013725,0.20942586,0.01094791
1500.00000000,115.33136214,0.74034516,0.20928865,0.01093404
1600.00000000,113.93334443,0.74055335,0.20915139,0.01092017
1700.00000000,112.53532965,0.74076009,0.20901521,0.01090642
1800.00000000,111.13991128,0.74096711,0.20887898,0.01089266
1900.00000000,109.74449618,0.74117246,0.20874396,0.01087904
2000.00000000,108.35165354,0.74137809,0.20860890,0.01086541
2100.00000000,106.95881448,0.74158186,0.20847517,0.01085193
2200.00000000,105.56852145,0.74178589,0.20834140,0.01083845
2300.00000000,104.17823232,0.74198785,0.20820911,0.01082512
2400.00000000,102.79046030,0.74219007,0.20807676,0.01081179
2500.00000000,101.40269247,0.74239001,0.20794603,0.01079863
2600.00000000,100.01741040,0.74259020,0.20781525,0.01078547
2700.00000000,98.63213281,0.74278791,0.20768620,0.01077249
2800.00000000,97.24930722,0.74298587,0.20755711,0.01075951
2900.00000000,95.86648636,0.74318115,0.20742988,0.01074673
3000.00000000,94.48608135,0.74337666,0.20730260,0.01073394
3100.00000000,93.10568132,0.74356928,0.20717732,0.01072136
3200.00000000,91.72765864,0.74376214,0.20705199,0.01070878
3300.00000000,90.34964116,0.74395190,0.20692878,0.01069642
3400.00000000,88.97396021,0.74414189,0.20680553,0.01068405
3500.00000000,87.59828467,0.74432859,0.20668451,0.01067192
3600.00000000,86.22490256,0.74451551,0.20656346,0.01065979
3700.00000000,84.85152604,0.74469894,0.20644476,0.01064789
3800.00000000,83.48039761,0.74488258,0.20632602,0.01063600
3900.00000000,82.10927494,0.74506253,0.20620976,0.01062436
4000.00000000,80.74035283,0.74524268,0.20609347,0.01061272
4100.00000000,79.37143661,0.74541897,0.20597976,0.01060135
4200.00000000,78.00467126,0.74559544,0.20586602,0.01058997
4300.00000000,76.63791192,0.74576784,0.20575499,0.01057887
4400.00000000,75.27325166,0.74594043,0.20564393,0.01056777
4500.00000000,73.90859749,0.74610877,0.20553568,0.01055696
4600.00000000,72.54598855,0.74627728,0.20542741,0.01054615
4700.00000000,71.18338578,0.74644136,0.20532206,0.01053563
4800.00000000,69.82277236,0.74660560,0.20521669,0.01052511
4900.00000000,68.46216516,0.74676523,0.20511434,0.01051490
5000.00000000,67.10348950,0.74692501,0.20501198,0.01050469
5100.00000000,65.74482008,0.74708001,0.20491274,0.01049480
5200.00000000,64.38802248,0.74723515,0.20481349,0.01048491
5300.00000000,63.03123111,0.74738534,0.20471747,0.01047534
5400.00000000,61.67625001,0.74753565,0.20462143,0.01046577
5500.00000000,60.32127511,0.74768085,0.20452872,0.01045654
5600.00000000,58.96804713,0.74782616,0.20443600,0.01044731
5700.00000000,57.61482530,0.74796620,0.20434670,0.01043842
5800.00000000,56.26328533,0.74810634,0.20425739,0.01042954
5900.00000000,54.91175144,0.74824105,0.20417160,0.01042100
6000.00000000,53.56183267,0.74837586,0.20408579,0.01041247
6100.00000000,52.21191987,0.74850509,0.20400359,0.01040430
6200.00000000,50.86355389,0.74863440,0.20392138,0.01039613
6300.00000000,49.51519374,0.74875798,0.20384285,0.01038832
6400.00000000,48.16831056,0.74888164,0.20376432,0.01038052
6500.00000000,46.82143308,0.74899944,0.20368955,0.01037310
6600.00000000,45.47596124,0.74911730,0.20361478,0.01036567
6700.00000000,44.13049493,0.74922917,0.20354386,0.01035863
6800.00000000,42.78636157,0.74934108,0.20347293,0.01035159
6900.00000000,41.44223353,0.74944688,0.20340591,0.01034494
7000.00000000,40.09936442,0.74955272,0.20333890,0.01033830
7100.00000000,38.75650042,0.74965232,0.20327587,0.01033204
7200.00000000,37.41482009,0.74975196,0.20321284,0.01032579
7300.00000000,36.07314461,0.74984524,0.20315386,0.01031995
7400.00000000,34.73257637,0.74993855,0.20309489,0.01031410
7500.00000000,33.39201273,0.75002539,0.20304002,0.01030866
7600.00000000,32.05247877,0.75011226,0.20298516,0.01030323
7700.00000000,30.71294914,0.75019257,0.20293446,0.01029820
7800.00000000,29.37437063,0.75027288,0.20288378,0.01029318
7900.00000000,28.03579616,0.75034655,0.20283730,0.01028858
8000.00000000,26.69809330,0.75042022,0.20279084,0.01028398
8100.00000000,25.36039416,0.75048715,0.20274865,0.01027980
8200.00000000,24.02348626,0.75055408,0.20270646,0.01027563
8300.00000000,22.68658175,0.75061420,0.20266858,0.01027188
8400.00000000,21.35038732,0.75067431,0.20263072,0.01026813
8500.00000000,20.01419595,0.75072754,0.20259720,0.01026481
8600.00000000,18.67863279,0.75078075,0.20256369,0.01026150
8700.00000000,17.34307233,0.75082702,0.20253457,0.01025862
8800.00000000,16.00805759,0.75087327,0.20250546,0.01025574
8900.00000000,14.67304519,0.75091252,0.20248076,0.01025329
9000.00000000,13.33849547,0.75095175,0.20245608,0.01025085
9100.00000000,12.00394772,0.75098394,0.20243584,0.01024885
9200.00000000,10.66977916,0.75101610,0.20241561,0.01024685
9300.00000000,9.33561217,0.75104118,0.20239984,0.01024529
9400.00000000,8.00174051,0.75106623,0.20238408,0.01024373
9500.00000000,6.66787003,0.75108417,0.20237280,0.01024261
9600.00000000,5.33421071,0.75110208,0.20236154,0.01024150
9700.00000000,4.00055218,0.75111287,0.20235477,0.01024083
9800.00000000,2.66702043,0.75112362,0.20234801,0.01024016
9900.00000000,1.33348908,0.75112722,0.20234574,0.01023994
10000.00000000,0.00000000,0.75113080,0.20234350,0.01023972
