x, eta, H, tau, qb
0.00000000,125.15989302,0.73705578,0.21147453,0.01115569
100.00000000,123.73964902,0.73712764,0.21142643,0.01115079
200.00000000,122.32032759,0.73719956,0.21137831,0.01114590
300.00000000,120.90100646,0.73727138,0.21133027,0.01114101
400.00000000,119.48260636,0.73734326,0.21128220,0.01113613
500.00000000,118.06420687,0.73741497,0.21123426,0.01113125
600.00000000,116.64672597,0.73748675,0.21118629,0.01112638
700.00000000,115.22924598,0.73755829,0.21113850,0.01112152
800.00000000,113.81268126,0.73762988,0.21109068,0.01111666
900.00000000,112.39611774,0.73770118,0.21104308,0.01111182
1000.00000000,110.98046529,0.73777253,0.21099546,0.01110698
1100.00000000,109.56481433,0.73784351,0.21094810,0.01110217
1200.00000000,108.15006936,0.73791454,0.21090073,0.01109736
1300.00000000,106.73532617,0.73798514,0.21085365,0.01109258
1400.00000000,105.32148302,0.73805579,0.21080656,0.01108780
1500.00000000,103.90764192,0.73812594,0.21075982,0.01108305
1600.00000000,102.49469405,0.73819613,0.21071306,0.01107831
1700.00000000,101.08174850,0.73826575,0.21066670,0.01107360
1800.00000000,99.66968850,0.73833542,0.21062032,0.01106889
1900.00000000,98.25763109,0.73840445,0.21057438,0.01106423
2000.00000000,96.84645070,0.73847353,0.21052842,0.01105957
2100.00000000,95.43527315,0.73854190,0.21048295,0.01105496
2200.00000000,94.02496326,0.73861031,0.21043746,0.01105034
2300.00000000,92.61465644,0.73867795,0.21039250,0.01104578
2400.00000000,91.20520708,0.73874564,0.21034752,0.01104122
2500.00000000,89.79576103,0.73881248,0.21030312,0.01103672
2600.00000000,88.38716141,0.73887937,0.21025870,0.01103222
2700.00000000,86.97856531,0.73894535,0.21021490,0.01102778
2800.00000000,85.57080381,0.73901138,0.21017108,0.01102334
2900.00000000,84.16304603,0.73907643,0.21012791,0.01101896
3000.00000000,82.75611021,0.73914153,0.21008474,0.01101459
3100.00000000,81.34917831,0.73920559,0.21004226,0.01101029
3200.00000000,79.94305495,0.73926968,0.20999977,0.01100598
3300.00000000,78.53693567,0.73933269,0.20995801,0.01100175
3400.00000000,77.13161073,0.73939572,0.20991625,0.01099752
3500.00000000,75.72629004,0.73945760,0.20987526,0.01099338
3600.00000000,74.32174873,0.73951952,0.20983427,0.01098922
3700.00000000,72.91721180,0.73958021,0.20979409,0.01098516
3800.00000000,71.51343856,0.73964093,0.20975390,0.01098109
3900.00000000,70.10966982,0.73970038,0.20971457,0.01097711
4000.00000000,68.70664833,0.73975986,0.20967523,0.01097313
4100.00000000,67.30363145,0.73981800,0.20963678,0.01096924
4200.00000000,65.90134468,0.73987616,0.20959833,0.01096535
4300.00000000,64.49906259,0.73993294,0.20956081,0.01096155
4400.00000000,63.09749278,0.73998974,0.20952328,0.01095776
4500.00000000,61.69592771,0.74004508,0.20948672,0.01095406
4600.00000000,60.29505640,0.74010045,0.20945015,0.01095036
4700.00000000,58.89418988,0.74015432,0.20941458,0.01094677
4800.00000000,57.49399793,0.74020821,0.20937901,0.01094317
4900.00000000,56.09381080,0.74026053,0.20934448,0.01093968
5000.00000000,54.69427841,0.74031288,0.20930994,0.01093619
5100.00000000,53.29475086,0.74036362,0.20927647,0.01093281
5200.00000000,51.89585758,0.74041437,0.20924300,0.01092942
5300.00000000,50.49696914,0.74046347,0.20921063,0.01092615
5400.00000000,49.09869392,0.74051257,0.20917826,0.01092288
5500.00000000,47.70042350,0.74055997,0.20914703,0.01091973
5600.00000000,46.30274466,0.74060738,0.20911579,0.01091657
5700.00000000,44.90507057,0.74065304,0.20908571,0.01091353
5800.00000000,43.50796585,0.74069870,0.20905563,0.01091050
5900.00000000,42.11086582,0.74074257,0.20902675,0.01090758
6000.00000000,40.71431242,0.74078644,0.20899787,0.01090466
6100.00000000,39.31776361,0.74082847,0.20897020,0.01090187
6200.00000000,37.92173817,0.74087050,0.20894254,0.01089908
6300.00000000,36.52571722,0.74091064,0.20891612,0.01089641
6400.00000000,35.13019585,0.74095079,0.20888971,0.01089375
6500.00000000,33.73467887,0.74098902,0.20886457,0.01089121
6600.00000000,32.33963723,0.74102724,0.20883943,0.01088867
6700.00000000,30.94459983,0.74106350,0.20881559,0.01088626
6800.00000000,29.55001308,0.74109976,0.20879175,0.01088386
6900.00000000,28.15543041,0.74113402,0.20876923,0.01088159
7000.00000000,26.76127327,0.74116828,0.20874672,0.01087932
7100.00000000,25.36712005,0.74120050,0.20872554,0.01087718
7200.00000000,23.97336681,0.74123272,0.20870437,0.01087504
7300.00000000,22.57961731,0.74126287,0.20868457,0.01087305
7400.00000000,21.18624189,0.74129301,0.20866477,0.01087105
7500.00000000,19.79287000,0.74132106,0.20864634,0.01086919
7600.00000000,18.39984593,0.74134910,0.20862793,0.01086733
7700.00000000,17.00682517,0.74137502,0.20861091,0.01086562
7800.00000000,15.61412564,0.74140093,0.20859391,0.01086390
7900.00000000,14.22142919,0.74142469,0.20857831,0.01086233
8000.00000000,12.82902706,0.74144843,0.20856272,0.01086076
8100.00000000,11.43662778,0.74147000,0.20854856,0.01085933
8200.00000000,10.04449564,0.74149156,0.20853442,0.01085790
8300.00000000,8.65236610,0.74151093,0.20852171,0.01085662
8400.00000000,7.26047626,0.74153028,0.20850901,0.01085534
8500.00000000,5.86858875,0.74154742,0.20849777,0.01085421
8600.00000000,4.47691329,0.74156454,0.20848654,0.01085308
8700.00000000,3.08523989,0.74157943,0.20847677,0.01085209
8800.00000000,1.69375067,0.74159430,0.20846701,0.01085111
8900.00000000,0.30226324,0.74160693,0.20845873,0.01085027
9000.00000000,-1.08906806,0.74161954,0.20845046,0.01084944
9100.00000000,-2.48039786,0.74162989,0.20844367,0.01084875
9200.00000000,-3.87159970,0.74164022,0.20843690,0.01084807
9300.00000000,-5.26280034,0.74164829,0.20843160,0.01084754
9400.00000000,-6.65390133,0.74165634,0.20842633,0.01084701
9500.00000000,-8.04500142,0.74166211,0.20842254,0.01084663
9600.00000000,-9.43603026,0.74166786,0.20841878,0.01084625
9700.00000000,-10.82705849,0.74167133,0.20841650,0.01084602
9800.00000000,-12.21804395,0.74167477,0.20841424,0.01084579
9900.00000000,-13.60902911,0.74167594,0.20841348,0.01084571
10000.00000000,-15.00000000,0.74167708,0.20841273,0.01084564
