x, eta, depth, slope, bedload_discharge
-108.86667701,4.53810334,5.65895389,0.00009000,0.00060000
2396.57665684,4.28430810,5.65895389,0.00009000,0.00015153
4902.01999069,4.05881820,5.65895389,0.00009000,0.00015153
7407.46332454,3.83332830,5.65895389,0.00009000,0.00015153
9912.90665839,3.60783840,5.65895389,0.00009000,0.00015153
12418.34999224,3.38234850,5.65895389,0.00009000,0.00015153
14923.79332609,3.15685860,5.65895389,0.00009000,0.00015153
17429.23665994,2.93136870,5.65895389,0.00009000,0.00015153
19934.67999379,2.70587880,5.65895389,0.00009000,0.00015153
22440.12332765,2.48038890,5.65895389,0.00009000,0.00015153
24945.56666150,2.25489900,5.65895389,0.00009000,0.00015153
27451.00999535,2.02940910,5.65895389,0.00009000,0.00015153
29956.45332920,1.80391920,5.65895389,0.00009000,0.00015153
32461.89666305,1.57842930,5.65895389,0.00009000,0.00015153
34967.33999690,1.35293940,5.65895389,0.00009000,0.00015153
37472.78333075,1.12744950,5.65895389,0.00009000,0.00015153
39978.22666460,0.90195960,5.65895389,0.00009000,0.00015153
42483.66999845,0.67646970,5.65895389,0.00009000,0.00015153
44989.11333230,0.45097980,5.65895389,0.00009000,0.00015153
47494.55666615,0.22548990,5.65895389,0.00009000,0.00015153
50000.00000000,0.00000000,5.65895389,0.00009000,0.00015153
