x, eta, qb, H, tau
   0.00000,  13.31839,   0.00096,   3.57734,   1.54482
1972.69522,  12.61559,   0.00092,   3.60687,   1.51962
3945.39044,  11.94704,   0.00088,   3.63840,   1.49340
5918.08565,  11.27959,   0.00084,   3.67113,   1.46689
7890.78087,  10.64645,   0.00081,   3.70598,   1.43943
9863.47609,  10.01534,   0.00077,   3.74237,   1.41158
11836.17131,   9.41873,   0.00073,   3.78101,   1.38287
13808.86652,   8.82488,   0.00069,   3.82161,   1.35364
15781.56174,   8.26581,   0.00065,   3.86464,   1.32367
17754.25696,   7.71005,   0.00062,   3.91015,   1.29304
19726.95218,   7.18944,   0.00058,   3.95828,   1.26178
21699.64740,   6.67247,   0.00054,   4.00956,   1.22972
23672.34261,   6.19117,   0.00051,   4.06368,   1.19717
25645.03783,   5.71356,   0.00047,   4.12182,   1.16364
27617.73305,   5.27227,   0.00044,   4.18306,   1.12982
29590.42827,   4.83443,   0.00041,   4.24950,   1.09477
31563.12348,   4.43373,   0.00037,   4.31926,   1.05969
33535.81870,   4.03587,   0.00034,   4.39590,   1.02306
35508.51392,   3.67622,   0.00031,   4.47600,   0.98677
37481.20914,   3.31830,   0.00028,   4.56544,   0.94849
39453.90435,   3.00000,   0.00026,   4.65823,   0.91108
39468.90435,   0.00000,   0.01079,   2.20524,   4.06525
