x, eta, H, tau, qb
0.00000000,139.41240470,0.73708384,0.21145575,0.01115378
100.00000000,137.99234082,0.73718380,0.21138885,0.01114697
200.00000000,136.57355992,0.73728382,0.21132195,0.01114017
300.00000000,135.15477910,0.73738376,0.21125512,0.01113337
400.00000000,133.73727949,0.73748377,0.21118828,0.01112658
500.00000000,132.31978004,0.73758360,0.21112159,0.01111980
600.00000000,130.90355881,0.73768349,0.21105489,0.01111302
700.00000000,129.48733782,0.73778312,0.21098840,0.01110626
800.00000000,128.07239081,0.73788281,0.21092189,0.01109951
900.00000000,126.65744413,0.73798213,0.21085566,0.01109278
1000.00000000,125.24376596,0.73808151,0.21078942,0.01108606
1100.00000000,123.83008821,0.73818043,0.21072352,0.01107937
1200.00000000,122.41767227,0.73827941,0.21065760,0.01107268
1300.00000000,121.00525684,0.73837783,0.21059209,0.01106603
1400.00000000,119.59409531,0.73847631,0.21052657,0.01105938
1500.00000000,118.18293436,0.73857413,0.21046151,0.01105278
1600.00000000,116.77301820,0.73867202,0.21039645,0.01104618
1700.00000000,115.36310270,0.73876914,0.21033191,0.01103964
1800.00000000,113.95442166,0.73886633,0.21026736,0.01103310
1900.00000000,112.54574135,0.73896267,0.21020340,0.01102661
2000.00000000,111.13828398,0.73905907,0.21013943,0.01102013
2100.00000000,109.73082741,0.73915452,0.21007612,0.01101372
2200.00000000,108.32458109,0.73925003,0.21001279,0.01100730
2300.00000000,106.91833563,0.73934450,0.20995019,0.01100096
2400.00000000,105.51328654,0.73943902,0.20988757,0.01099462
2500.00000000,104.10823839,0.73953241,0.20982573,0.01098836
2600.00000000,102.70437157,0.73962586,0.20976388,0.01098210
2700.00000000,101.30050574,0.73971808,0.20970287,0.01097593
2800.00000000,99.89780507,0.73981035,0.20964184,0.01096975
2900.00000000,98.49510545,0.73990130,0.20958172,0.01096367
3000.00000000,97.09355367,0.73999230,0.20952158,0.01095759
3100.00000000,95.69200300,0.74008189,0.20946241,0.01095160
3200.00000000,94.29158175,0.74017154,0.20940322,0.01094562
3300.00000000,92.89116165,0.74025968,0.20934505,0.01093974
3400.00000000,91.49185145,0.74034787,0.20928686,0.01093386
3500.00000000,90.09254245,0.74043447,0.20922975,0.01092809
3600.00000000,88.69432275,0.74052111,0.20917263,0.01092232
3700.00000000,87.29610430,0.74060608,0.20911664,0.01091666
3800.00000000,85.89895348,0.74069109,0.20906064,0.01091100
3900.00000000,84.50180394,0.74077434,0.20900583,0.01090547
4000.00000000,83.10569935,0.74085764,0.20895100,0.01089993
4100.00000000,81.70959606,0.74093908,0.20889742,0.01089452
4200.00000000,80.31451401,0.74102056,0.20884382,0.01088911
4300.00000000,78.91943329,0.74110012,0.20879152,0.01088384
4400.00000000,77.52534910,0.74117971,0.20873920,0.01087856
4500.00000000,76.13126626,0.74125729,0.20868823,0.01087342
4600.00000000,74.73815427,0.74133490,0.20863725,0.01086827
4700.00000000,73.34504365,0.74141043,0.20858767,0.01086327
4800.00000000,71.95287726,0.74148599,0.20853807,0.01085827
4900.00000000,70.56071224,0.74155938,0.20848992,0.01085342
5000.00000000,69.16946392,0.74163280,0.20844176,0.01084856
5100.00000000,67.77821697,0.74170398,0.20839509,0.01084386
5200.00000000,66.38785828,0.74177518,0.20834842,0.01083915
5300.00000000,64.99750097,0.74184407,0.20830328,0.01083461
5400.00000000,63.60800261,0.74191299,0.20825813,0.01083006
5500.00000000,62.21850562,0.74197952,0.20821456,0.01082567
5600.00000000,60.82983745,0.74204607,0.20817099,0.01082128
5700.00000000,59.44117063,0.74211017,0.20812904,0.01081706
5800.00000000,58.05330168,0.74217429,0.20808708,0.01081283
5900.00000000,56.66543407,0.74223589,0.20804679,0.01080877
6000.00000000,55.27833260,0.74229751,0.20800650,0.01080472
6100.00000000,53.89123244,0.74235654,0.20796791,0.01080083
6200.00000000,52.50486595,0.74241558,0.20792931,0.01079695
6300.00000000,51.11850075,0.74247199,0.20789246,0.01079324
6400.00000000,49.73283602,0.74252840,0.20785561,0.01078953
6500.00000000,48.34717254,0.74258211,0.20782053,0.01078600
6600.00000000,46.96217566,0.74263584,0.20778545,0.01078248
6700.00000000,45.57718000,0.74268680,0.20775218,0.01077913
6800.00000000,44.19281640,0.74273777,0.20771892,0.01077578
6900.00000000,42.80845397,0.74278593,0.20768749,0.01077262
7000.00000000,41.42468847,0.74283410,0.20765607,0.01076946
7100.00000000,40.04092409,0.74287940,0.20762652,0.01076649
7200.00000000,38.65772090,0.74292471,0.20759698,0.01076352
7300.00000000,37.27451879,0.74296711,0.20756934,0.01076074
7400.00000000,35.89184158,0.74300952,0.20754170,0.01075796
7500.00000000,34.50916539,0.74304896,0.20751599,0.01075538
7600.00000000,33.12697732,0.74308841,0.20749028,0.01075280
7700.00000000,31.74479021,0.74312487,0.20746654,0.01075041
7800.00000000,30.36305394,0.74316132,0.20744279,0.01074802
7900.00000000,28.98131856,0.74319474,0.20742103,0.01074584
8000.00000000,27.59999632,0.74322816,0.20739926,0.01074365
8100.00000000,26.21867490,0.74325851,0.20737951,0.01074167
8200.00000000,24.83772850,0.74328885,0.20735975,0.01073968
