x, eta, qb, H, tau
   0.00000,  21.23019,   0.00095,   3.58232,   1.54052
3750.47322,  19.89960,   0.00091,   3.61709,   1.51104
7500.94643,  18.64503,   0.00086,   3.65474,   1.48008
11251.41965,  17.39351,   0.00082,   3.69399,   1.44879
15001.89286,  16.21797,   0.00077,   3.73635,   1.41612
18752.36608,  15.04807,   0.00073,   3.78085,   1.38299
22502.83929,  13.95437,   0.00068,   3.82877,   1.34859
26253.31251,  12.86841,   0.00064,   3.87948,   1.31356
30003.78572,  11.85908,   0.00060,   3.93402,   1.27739
33754.25894,  10.85906,   0.00055,   3.99221,   1.24042
37504.73215,   9.93631,   0.00051,   4.05473,   1.20246
41255.20537,   9.02388,   0.00047,   4.12206,   1.16350
45005.67858,   8.18960,   0.00043,   4.19434,   1.12375
48756.15180,   7.36592,   0.00040,   4.27305,   1.08273
52506.62501,   6.62157,   0.00036,   4.35747,   1.04119
56257.09823,   5.88727,   0.00032,   4.45066,   0.99804
60007.57144,   5.23389,   0.00029,   4.55046,   0.95474
63758.04466,   4.58890,   0.00026,   4.66265,   0.90935
67508.51787,   4.02700,   0.00022,   4.78233,   0.86441
71258.99109,   3.47038,   0.00020,   4.92037,   0.81659
75009.46430,   3.00000,   0.00017,   5.06636,   0.77020
75024.46430,   0.00000,   0.00370,   2.73193,   2.64886
