x, eta, H, tau, qb
0.00000000,140.81016723,0.73703133,0.21149090,0.01115735
100.00000000,139.38976622,0.73707875,0.21145915,0.01115412
200.00000000,137.96997419,0.73712619,0.21142740,0.01115089
300.00000000,136.55018217,0.73717357,0.21139569,0.01114767
400.00000000,135.13099825,0.73722097,0.21136398,0.01114444
500.00000000,133.71181438,0.73726827,0.21133234,0.01114122
600.00000000,132.29323716,0.73731558,0.21130070,0.01113801
700.00000000,130.87466000,0.73736275,0.21126917,0.01113480
800.00000000,129.45668746,0.73740993,0.21123763,0.01113159
900.00000000,128.03871499,0.73745692,0.21120622,0.01112840
1000.00000000,126.62134453,0.73750393,0.21117481,0.01112521
1100.00000000,125.20397415,0.73755069,0.21114357,0.01112203
1200.00000000,123.78720258,0.73759748,0.21111233,0.01111886
1300.00000000,122.37043112,0.73764397,0.21108128,0.01111570
1400.00000000,120.95425467,0.73769049,0.21105022,0.01111255
1500.00000000,119.53807836,0.73773667,0.21101939,0.01110941
1600.00000000,118.12249270,0.73778287,0.21098856,0.01110628
1700.00000000,116.70690719,0.73782870,0.21095799,0.01110318
1800.00000000,115.29190742,0.73787454,0.21092741,0.01110007
1900.00000000,113.87690781,0.73791996,0.21089712,0.01109699
2000.00000000,112.46248843,0.73796539,0.21086682,0.01109392
2100.00000000,111.04806924,0.73801037,0.21083684,0.01109087
2200.00000000,109.63422422,0.73805535,0.21080685,0.01108783
2300.00000000,108.22037941,0.73809983,0.21077721,0.01108482
2400.00000000,106.80710216,0.73814433,0.21074757,0.01108181
2500.00000000,105.39382512,0.73818827,0.21071830,0.01107884
2600.00000000,103.98110849,0.73823223,0.21068902,0.01107587
2700.00000000,102.56839208,0.73827559,0.21066015,0.01107294
2800.00000000,101.15622837,0.73831896,0.21063127,0.01107000
2900.00000000,99.74406490,0.73836170,0.21060283,0.01106712
3000.00000000,98.33244590,0.73840445,0.21057438,0.01106423
3100.00000000,96.92082714,0.73844653,0.21054638,0.01106139
3200.00000000,95.50974408,0.73848861,0.21051839,0.01105855
3300.00000000,94.09866128,0.73852998,0.21049088,0.01105576
3400.00000000,92.68810488,0.73857135,0.21046336,0.01105297
3500.00000000,91.27754876,0.73861197,0.21043636,0.01105023
3600.00000000,89.86750925,0.73865259,0.21040935,0.01104749
3700.00000000,88.45747002,0.73869242,0.21038288,0.01104481
3800.00000000,87.04793710,0.73873226,0.21035641,0.01104212
3900.00000000,85.63840447,0.73877126,0.21033051,0.01103950
4000.00000000,84.22936737,0.73881026,0.21030460,0.01103687
4100.00000000,82.82033055,0.73884839,0.21027927,0.01103430
4200.00000000,81.41177800,0.73888653,0.21025395,0.01103174
4300.00000000,80.00322574,0.73892375,0.21022924,0.01102923
4400.00000000,78.59514601,0.73896098,0.21020452,0.01102673
4500.00000000,77.18706657,0.73899726,0.21018045,0.01102429
4600.00000000,75.77944746,0.73903354,0.21015637,0.01102185
4700.00000000,74.37182865,0.73906884,0.21013295,0.01101947
4800.00000000,72.96465752,0.73910415,0.21010953,0.01101710
4900.00000000,71.55748670,0.73913843,0.21008679,0.01101480
5000.00000000,70.15075048,0.73917272,0.21006405,0.01101249
5100.00000000,68.74401456,0.73920595,0.21004202,0.01101026
5200.00000000,67.33769975,0.73923918,0.21001999,0.01100803
5300.00000000,65.93138524,0.73927133,0.20999868,0.01100587
5400.00000000,64.52547792,0.73930348,0.20997737,0.01100371
5500.00000000,63.11957090,0.73933451,0.20995681,0.01100163
5600.00000000,61.71405677,0.73936554,0.20993624,0.01099955
5700.00000000,60.30854294,0.73939542,0.20991645,0.01099755
5800.00000000,58.90340731,0.73942531,0.20989665,0.01099554
5900.00000000,57.49827198,0.73945401,0.20987764,0.01099362
6000.00000000,56.09349979,0.73948271,0.20985864,0.01099169
6100.00000000,54.68872789,0.73951021,0.20984043,0.01098985
6200.00000000,53.28430373,0.73953771,0.20982223,0.01098801
6300.00000000,51.87987986,0.73956396,0.20980484,0.01098625
6400.00000000,50.47578798,0.73959022,0.20978746,0.01098449
6500.00000000,49.07169638,0.73961522,0.20977092,0.01098281
