x, eta, depth, slope, bedload_discharge
-32516.08040654,15.88062814,4.29918450,0.00020525,0.00060000
-28390.27638621,15.03378818,4.29918450,0.00020448,0.00059875
-24264.47236588,14.19335032,4.31007385,0.00020292,0.00059123
-20138.66834556,13.35936619,4.32116355,0.00020136,0.00058368
-16012.86432523,12.53184536,4.33238497,0.00019979,0.00057616
-11887.06030490,11.71075332,4.34366303,0.00019824,0.00056872
-7761.25628458,10.89600983,4.35491647,0.00019672,0.00056141
-3635.45226425,10.08748752,4.36605816,0.00019523,0.00055428
490.35175608,9.28501098,4.37699575,0.00019380,0.00054739
4616.15577640,8.48835621,4.38763250,0.00019242,0.00054079
8741.95979673,7.69725075,4.39786833,0.00019111,0.00053452
12867.76381706,6.91137419,4.40760119,0.00018989,0.00052865
16993.56783738,6.13035951,4.41672869,0.00018876,0.00052321
21119.37185771,5.35379500,4.42514989,0.00018774,0.00051825
25245.17587804,4.58122682,4.43276735,0.00018683,0.00051381
29370.97989837,3.81216239,4.43948924,0.00018604,0.00050993
33496.78391869,3.04607440,4.44523162,0.00018539,0.00050665
37622.58793902,2.28240539,4.44992051,0.00018487,0.00050398
41748.39195935,1.52057308,4.45349396,0.00018450,0.00050196
45874.19597967,0.75997608,4.45590380,0.00018427,0.00050061
50000.00000000,0.00000000,4.45711709,0.00009000,0.00049993
