x, eta, H, ksi, tau, qb
0.00000000,15.64849683,4.46960292,20.11809975,0.89385642,0.00036864
833.00000000,15.47138488,4.48336583,19.95475071,0.88746326,0.00036448
1666.00000000,15.29573743,4.49735378,19.79309122,0.88103227,0.00036030
2499.00000000,15.12155759,4.51156793,19.63312552,0.87456535,0.00035612
3332.00000000,14.94884813,4.52600911,19.47485724,0.86806447,0.00035193
4165.00000000,14.77761079,4.54067866,19.31828946,0.86153128,0.00034774
4998.00000000,14.60784593,4.55557886,19.16342479,0.85496704,0.00034355
5831.00000000,14.43955262,4.57071288,19.01026550,0.84837259,0.00033935
6664.00000000,14.27272899,4.58608458,18.85881357,0.84174857,0.00033515
7497.00000000,14.10737269,4.60169803,18.70907072,0.83509561,0.00033095
8330.00000000,13.94348116,4.61755723,18.56103839,0.82841444,0.00032675
9163.00000000,13.78105173,4.63366596,18.41471770,0.82170595,0.00032255
9996.00000000,13.62008159,4.65002782,18.27010941,0.81497111,0.00031835
10829.00000000,13.46056756,4.66664638,18.12721394,0.80821097,0.00031416
11662.00000000,13.30250602,4.68352533,17.98603135,0.80142651,0.00030997
12495.00000000,13.14589275,4.70066862,17.84656137,0.79461868,0.00030578
13328.00000000,12.99072297,4.71808043,17.70880340,0.78778835,0.00030160
14161.00000000,12.83699135,4.73576520,17.57275655,0.78093637,0.00029743
14994.00000000,12.68469208,4.75372754,17.43841963,0.77406354,0.00029326
15827.00000000,12.53381889,4.77197226,17.30579115,0.76717066,0.00028910
16660.00000000,12.38436504,4.79050431,17.17486935,0.76025852,0.00028495
17493.00000000,12.23632332,4.80932887,17.04565219,0.75332788,0.00028080
18326.00000000,12.08968599,4.82845137,16.91813736,0.74637946,0.00027667
19159.00000000,11.94444479,4.84787749,16.79232229,0.73941394,0.00027255
19992.00000000,11.80059090,4.86761328,16.66820418,0.73243196,0.00026844
20825.00000000,11.65811492,4.88766508,16.54577999,0.72543410,0.00026434
21658.00000000,11.51700687,4.90803963,16.42504650,0.71842087,0.00026025
22491.00000000,11.37725618,4.92874407,16.30600025,0.71139273,0.00025617
23324.00000000,11.23885163,4.94978600,16.18863763,0.70435008,0.00025211
24157.00000000,11.10178136,4.97117351,16.07295487,0.69729322,0.00024806
24990.00000000,10.96603277,4.99291527,15.95894805,0.69022238,0.00024403
25823.00000000,10.83159256,5.01502059,15.84661315,0.68313767,0.00024000
26656.00000000,10.69844659,5.03749948,15.73594606,0.67603910,0.00023600
27489.00000000,10.56657986,5.06036274,15.62694260,0.66892656,0.00023201
28322.00000000,10.43597646,5.08362213,15.51959858,0.66179978,0.00022803
29155.00000000,10.30661941,5.10729039,15.41390980,0.65465834,0.00022407
29988.00000000,10.17849001,5.13138216,15.30987217,0.64750140,0.00022012
30821.00000000,10.05147576,5.15601278,15.20748854,0.64029570,0.00021617
31654.00000000,9.91165594,5.19610471,15.10776065,0.62832900,0.00020967
32487.00000000,8.67998770,6.38530103,15.06528874,0.37823339,0.00009018
33320.00000000,4.51844546,10.56532063,15.08376609,0.11873898,0.00000909
34153.00000000,3.51955555,11.55955645,15.07911200,0.09731055,0.00000534
34986.00000000,3.29886551,11.77414104,15.07300655,0.09325985,0.00000471
35819.00000000,3.10625553,11.96090886,15.06716439,0.08989879,0.00000420
36652.00000000,2.91663101,12.14498066,15.06161166,0.08675223,0.00000375
37485.00000000,2.72909782,12.32723088,15.05632870,0.08378949,0.00000334
38318.00000000,2.54338879,12.50790809,15.05129688,0.08099293,0.00000296
39151.00000000,2.35928887,12.68721051,15.04649938,0.07834759,0.00000263
39984.00000000,2.17661482,12.86530613,15.04192094,0.07584054,0.00000232
40817.00000000,1.99520877,13.04233894,15.03754771,0.07346049,0.00000204
41650.00000000,1.81493347,13.21843354,15.03336701,0.07119749,0.00000178
42483.00000000,1.63566846,13.39369880,15.02936726,0.06904274,0.00000155
43316.00000000,1.45730705,13.56823076,15.02553781,0.06698839,0.00000134
44149.00000000,1.27975376,13.74211511,15.02186887,0.06502740,0.00000114
44982.00000000,1.10292211,13.91542929,15.01835140,0.06315343,0.00000097
45815.00000000,0.92673258,14.08824446,15.01497704,0.06136073,0.00000081
46648.00000000,0.75111068,14.26062738,15.01173805,0.05964406,0.00000067
47481.00000000,0.57598476,14.43264252,15.00862728,0.05799863,0.00000055
48314.00000000,0.40128340,14.60435466,15.00563805,0.05642001,0.00000043
49147.00000000,0.22693170,14.77583251,15.00276421,0.05490410,0.00000033
49980.00000000,0.05284544,14.94715456,15.00000000,0.05344700,0.00000024
