x, eta, H, tau, qb
0.00000000,109.32240473,0.73773099,0.21102318,0.01110980
100.00000000,107.90648686,0.73830522,0.21064042,0.01107093
200.00000000,106.49790260,0.73905834,0.21013991,0.01102018
300.00000000,105.09156275,0.73963682,0.20975662,0.01098137
400.00000000,103.69030903,0.74039509,0.20925572,0.01093071
500.00000000,102.29353755,0.74097760,0.20887208,0.01089197
600.00000000,100.89960778,0.74174011,0.20837141,0.01084147
700.00000000,99.51238284,0.74232641,0.20798760,0.01080282
800.00000000,98.12576683,0.74309221,0.20748781,0.01075255
900.00000000,96.74805442,0.74368204,0.20710403,0.01071400
1000.00000000,95.36873836,0.74445018,0.20660575,0.01066403
1100.00000000,94.00049230,0.74504328,0.20622219,0.01062561
1200.00000000,92.62845872,0.74581276,0.20572608,0.01057598
1300.00000000,91.26962073,0.74640884,0.20534293,0.01053771
1400.00000000,89.90484841,0.74717865,0.20484963,0.01048851
1500.00000000,88.55534813,0.74777741,0.20446710,0.01045040
1600.00000000,87.19781206,0.74854651,0.20397725,0.01040168
1700.00000000,85.85756718,0.74914763,0.20359555,0.01036376
1800.00000000,84.50723844,0.74991496,0.20310980,0.01031558
1900.00000000,83.17615480,0.75051809,0.20272914,0.01027787
2000.00000000,81.83300049,0.75128257,0.20224813,0.01023029
2100.00000000,80.51097221,0.75188736,0.20186874,0.01019281
2200.00000000,79.17495536,0.75264789,0.20139310,0.01014589
2300.00000000,77.86186500,0.75325395,0.20101522,0.01010866
2400.00000000,76.53294445,0.75400942,0.20054558,0.01006246
2500.00000000,75.22866319,0.75461633,0.20016944,0.01002551
2600.00000000,73.90679347,0.75536563,0.19970644,0.00998009
2700.00000000,72.61118131,0.75597296,0.19933228,0.00994343
2800.00000000,71.29631253,0.75671493,0.19887653,0.00989884
2900.00000000,70.00921852,0.75732222,0.19850461,0.00986250
3000.00000000,68.70129624,0.75805574,0.19805672,0.00981880
3100.00000000,67.42255871,0.75866250,0.19768731,0.00978280
3200.00000000,66.12152381,0.75938641,0.19724787,0.00974004
3300.00000000,64.85097066,0.75999213,0.19688125,0.00970441
3400.00000000,63.55675918,0.76070528,0.19645085,0.00966264
3500.00000000,62.29420816,0.76130940,0.19608729,0.00962741
3600.00000000,61.00675118,0.76201065,0.19566650,0.00958668
3700.00000000,59.75201018,0.76261261,0.19530632,0.00955186
3800.00000000,58.47123368,0.76330079,0.19489569,0.00951221
3900.00000000,57.22410106,0.76389999,0.19453917,0.00947784
4000.00000000,55.94992577,0.76457398,0.19413926,0.00943933
4100.00000000,54.71019072,0.76516977,0.19378673,0.00940543
4200.00000000,53.44253195,0.76582845,0.19339805,0.00936809
4300.00000000,52.20997484,0.76642018,0.19304982,0.00933469
4400.00000000,50.94874238,0.76706241,0.19267289,0.00929858
4500.00000000,49.72313515,0.76764939,0.19232930,0.00926570
4600.00000000,48.46823307,0.76827409,0.19196460,0.00923084
4700.00000000,47.24933960,0.76885559,0.19162600,0.00919852
4800.00000000,46.00066614,0.76946168,0.19127399,0.00916496
4900.00000000,44.78824270,0.77003696,0.19094073,0.00913322
5000.00000000,43.54569014,0.77062339,0.19060186,0.00910099
5100.00000000,42.33948577,0.77119167,0.19027430,0.00906986
5200.00000000,41.10294027,0.77175742,0.18994900,0.00903899
5300.00000000,39.90269725,0.77231789,0.18962751,0.00900852
5400.00000000,38.67203874,0.77286197,0.18931617,0.00897904
5500.00000000,37.47749303,0.77341381,0.18900114,0.00894924
5600.00000000,36.25259506,0.77393526,0.18870414,0.00892118
5700.00000000,35.06347675,0.77447762,0.18839594,0.00889209
5800.00000000,33.84420643,0.77497554,0.18811363,0.00886547
5900.00000000,32.66024022,0.77550753,0.18781266,0.00883712
6000.00000000,31.44645806,0.77598104,0.18754536,0.00881197
6100.00000000,30.26736373,0.77650177,0.18725202,0.00878440
6200.00000000,29.05892360,0.77695007,0.18700002,0.00876073
6300.00000000,27.88441651,0.77745863,0.18671472,0.00873397
6400.00000000,26.68116552,0.77788092,0.18647830,0.00871181
6500.00000000,25.51095707,0.77837639,0.18620145,0.00868588
6600.00000000,24.31273550,0.77877197,0.18598083,0.00866524
6700.00000000,23.14653366,0.77925340,0.18571284,0.00864019
6800.00000000,21.95317496,0.77962161,0.18550824,0.00862108
6900.00000000,20.79068473,0.78008805,0.18524953,0.00859694
7000.00000000,19.60201542,0.78042829,0.18506114,0.00857937
7100.00000000,18.44293936,0.78087879,0.18481212,0.00855617
7200.00000000,17.25877905,0.78119052,0.18464008,0.00854015
7300.00000000,16.10281775,0.78162413,0.18440117,0.00851793
7400.00000000,14.92297911,0.78190687,0.18424562,0.00850347
7500.00000000,13.76983172,0.78232263,0.18401723,0.00848225
7600.00000000,12.59412050,0.78257599,0.18387825,0.00846935
7700.00000000,11.44348520,0.78297294,0.18366080,0.00844917
