x, eta, H, tau, qb
0.00000000,141.47327349,0.73700639,0.21150760,0.01115905
100.00000000,140.05271229,0.73702887,0.21149255,0.01115752
200.00000000,138.63243982,0.73705135,0.21147750,0.01115599
300.00000000,137.21216735,0.73707380,0.21146247,0.01115446
400.00000000,135.79218319,0.73709626,0.21144744,0.01115293
500.00000000,134.37219904,0.73711866,0.21143244,0.01115141
600.00000000,132.95250251,0.73714107,0.21141744,0.01114988
700.00000000,131.53280599,0.73716341,0.21140250,0.01114836
800.00000000,130.11339612,0.73718575,0.21138755,0.01114684
900.00000000,128.69398626,0.73720799,0.21137267,0.01114533
1000.00000000,127.27486180,0.73723024,0.21135778,0.01114381
1100.00000000,125.85573736,0.73725237,0.21134298,0.01114231
1200.00000000,124.43689680,0.73727451,0.21132817,0.01114080
1300.00000000,123.01805626,0.73729651,0.21131346,0.01113930
1400.00000000,121.59949779,0.73731851,0.21129875,0.01113781
1500.00000000,120.18093936,0.73734035,0.21128414,0.01113632
1600.00000000,118.76266093,0.73736219,0.21126954,0.01113484
1700.00000000,117.34438253,0.73738386,0.21125505,0.01113337
1800.00000000,115.92638179,0.73740553,0.21124057,0.01113189
1900.00000000,114.50838109,0.73742700,0.21122622,0.01113043
2000.00000000,113.09065544,0.73744847,0.21121187,0.01112898
2100.00000000,111.67292983,0.73746971,0.21119767,0.01112753
2200.00000000,110.25547639,0.73749097,0.21118347,0.01112609
2300.00000000,108.83802299,0.73751197,0.21116944,0.01112466
2400.00000000,107.42083863,0.73753299,0.21115540,0.01112323
2500.00000000,106.00365431,0.73755374,0.21114154,0.01112183
2600.00000000,104.58673563,0.73757449,0.21112768,0.01112042
2700.00000000,103.16981699,0.73759495,0.21111401,0.01111903
2800.00000000,101.75316033,0.73761543,0.21110034,0.01111764
2900.00000000,100.33650372,0.73763559,0.21108687,0.01111627
3000.00000000,98.92010517,0.73765576,0.21107340,0.01111490
3100.00000000,97.50370667,0.73767561,0.21106015,0.01111356
3200.00000000,96.08756208,0.73769546,0.21104690,0.01111221
3300.00000000,94.67141754,0.73771497,0.21103388,0.01111089
3400.00000000,93.25552249,0.73773448,0.21102086,0.01110956
3500.00000000,91.83962751,0.73775363,0.21100808,0.01110826
3600.00000000,90.42397737,0.73777278,0.21099530,0.01110697
3700.00000000,89.00832729,0.73779155,0.21098277,0.01110569
3800.00000000,87.59291716,0.73781032,0.21097025,0.01110442
3900.00000000,86.17750710,0.73782870,0.21095799,0.01110318
4000.00000000,84.76233188,0.73784708,0.21094573,0.01110193
4100.00000000,83.34715672,0.73786504,0.21093375,0.01110071
4200.00000000,81.93221106,0.73788300,0.21092177,0.01109950
4300.00000000,80.51726546,0.73790053,0.21091007,0.01109831
4400.00000000,79.10254379,0.73791806,0.21089838,0.01109712
4500.00000000,77.68782218,0.73793514,0.21088699,0.01109596
4600.00000000,76.27331871,0.73795222,0.21087560,0.01109481
4700.00000000,74.85881531,0.73796883,0.21086453,0.01109368
4800.00000000,73.44452406,0.73798545,0.21085345,0.01109256
4900.00000000,72.03023287,0.73800158,0.21084270,0.01109147
5000.00000000,70.61614762,0.73801771,0.21083194,0.01109037
5100.00000000,69.20206244,0.73803335,0.21082152,0.01108932
5200.00000000,67.78817680,0.73804898,0.21081110,0.01108826
5300.00000000,66.37429122,0.73806410,0.21080102,0.01108724
5400.00000000,64.96059859,0.73807922,0.21079095,0.01108621
5500.00000000,63.54690603,0.73809381,0.21078123,0.01108523
5600.00000000,62.13339963,0.73810840,0.21077150,0.01108424
5700.00000000,60.71989330,0.73812245,0.21076214,0.01108329
5800.00000000,59.30656616,0.73813650,0.21075278,0.01108234
5900.00000000,57.89323910,0.73814999,0.21074380,0.01108143
6000.00000000,56.48008409,0.73816348,0.21073481,0.01108051
6100.00000000,55.06692915,0.73817640,0.21072620,0.01107964
6200.00000000,53.65393897,0.73818932,0.21071760,0.01107877
6300.00000000,52.24094885,0.73820166,0.21070938,0.01107793
6400.00000000,50.82811603,0.73821399,0.21070116,0.01107710
6500.00000000,49.41528327,0.73822573,0.21069335,0.01107630
6600.00000000,48.00260020,0.73823748,0.21068553,0.01107551
6700.00000000,46.58991718,0.73824861,0.21067811,0.01107476
6800.00000000,45.17737609,0.73825974,0.21067070,0.01107401
6900.00000000,43.76483505,0.73827026,0.21066370,0.01107330
7000.00000000,42.35242803,0.73828078,0.21065669,0.01107258
7100.00000000,40.94002108,0.73829066,0.21065011,0.01107192
7200.00000000,39.52774011,0.73830055,0.21064353,0.01107125
7300.00000000,38.11545920,0.73830980,0.21063737,0.01107062
7400.00000000,36.70329613,0.73831905,0.21063122,0.01107000
7500.00000000,35.29113312,0.73832765,0.21062549,0.01106942
7600.00000000,33.87907968,0.73833625,0.21061977,0.01106884
7700.00000000,32.46702629,0.73834420,0.21061448,0.01106830
7800.00000000,31.05507411,0.73835214,0.21060919,0.01106776
7900.00000000,29.64312198,0.73835942,0.21060434,0.01106727
8000.00000000,28.23126258,0.73836670,0.21059950,0.01106678
8100.00000000,26.81940323,0.73837331,0.21059510,0.01106633
8200.00000000,25.40762806,0.73837992,0.21059070,0.01106589
8300.00000000,23.99585292,0.73838585,0.21058675,0.01106549
8400.00000000,22.58415333,0.73839179,0.21058281,0.01106509
8500.00000000,21.17245377,0.73839703,0.21057931,0.01106473
8600.00000000,19.76082103,0.73840228,0.21057582,0.01106438
8700.00000000,18.34918833,0.73840684,0.21057279,0.01106407
8800.00000000,16.93761367,0.73841140,0.21056976,0.01106376
8900.00000000,15.52603904,0.73841526,0.21056718,0.01106350
9000.00000000,14.11451362,0.73841913,0.21056461,0.01106324
9100.00000000,12.70298823,0.73842230,0.21056250,0.01106303
9200.00000000,11.29150316,0.73842546,0.21056040,0.01106281
9300.00000000,9.88001812,0.73842793,0.21055876,0.01106265
9400.00000000,8.46856448,0.73843040,0.21055711,0.01106248
9500.00000000,7.05711085,0.73843216,0.21055594,0.01106236
9600.00000000,5.64567969,0.73843393,0.21055477,0.01106224
9700.00000000,4.23424853,0.73843498,0.21055406,0.01106217
9800.00000000,2.82283085,0.73843604,0.21055336,0.01106210
9900.00000000,1.41141318,0.73843640,0.21055312,0.01106208
10000.00000000,0.00000000,0.73843675,0.21055289,0.01106205
