x, eta, depth, slope, bedload_discharge
-28233.92573648,14.38187401,4.30022112,0.00020511,0.00060000
-24322.22944966,13.57956110,4.30022112,0.00020388,0.00059803
-20410.53316283,12.78687096,4.31755269,0.00020139,0.00058612
-16498.83687601,12.00397070,4.33547554,0.00019888,0.00057411
-12587.14058918,11.23096724,4.35390052,0.00019634,0.00056206
-8675.44430236,10.46790206,4.37272203,0.00019381,0.00055007
-4763.74801554,9.71474608,4.39181675,0.00019129,0.00053821
-852.05172871,8.97139481,4.41104275,0.00018880,0.00052659
3059.64455811,8.23766395,4.43023890,0.00018638,0.00051528
6971.34084494,7.51328562,4.44922503,0.00018403,0.00050438
10883.03713176,6.79790543,4.46780285,0.00018179,0.00049398
14794.73341858,6.09108062,4.48575783,0.00017967,0.00048417
18706.42970541,5.39227947,4.50286224,0.00017770,0.00047504
22618.12599223,4.70088226,4.51887955,0.00017589,0.00046668
26529.82227906,4.01618397,4.53356997,0.00017428,0.00045917
30441.51856588,3.33739877,4.54669731,0.00017288,0.00045258
34353.21485270,2.66366663,4.55803677,0.00017171,0.00044698
38264.91113953,1.99406185,4.56738335,0.00017078,0.00044242
42176.60742635,1.32760346,4.57456024,0.00017010,0.00043896
46088.30371318,0.66326739,4.57942681,0.00016969,0.00043664
50000.00000000,0.00000000,4.58188520,0.00009000,0.00043547
