x, eta, qb, H, tau
   0.00000,  17.74179,   0.00096,   3.58052,   1.54207
2951.97833,  16.69291,   0.00091,   3.61341,   1.51413
5903.95665,  15.70079,   0.00087,   3.64882,   1.48488
8855.93498,  14.71077,   0.00083,   3.68569,   1.45532
11807.91330,  13.77753,   0.00078,   3.72529,   1.42455
14759.89163,  12.84819,   0.00074,   3.76679,   1.39333
17711.86996,  11.97585,   0.00070,   3.81126,   1.36100
20663.84828,  11.10884,   0.00066,   3.85820,   1.32809
23615.82661,  10.29921,   0.00062,   3.90841,   1.29419
26567.80493,   9.49599,   0.00058,   3.96180,   1.25954
29519.78326,   8.75070,   0.00054,   4.01884,   1.22404
32471.76159,   8.01248,   0.00050,   4.08001,   1.18761
35423.73991,   7.33292,   0.00046,   4.14527,   1.15051
38375.71824,   6.66061,   0.00042,   4.21597,   1.11225
41327.69656,   6.04794,   0.00039,   4.29127,   1.07356
44279.67489,   5.44209,   0.00035,   4.37387,   1.03339
47231.65321,   4.89716,   0.00032,   4.46163,   0.99314
50183.63154,   4.35789,   0.00029,   4.55944,   0.95099
53135.60987,   3.88124,   0.00026,   4.66292,   0.90925
56087.58819,   3.40812,   0.00023,   4.78077,   0.86497
59039.56652,   3.00000,   0.00020,   4.90444,   0.82190
59054.56652,   0.00000,   0.00551,   2.52238,   3.10726
