x, eta, H, ksi, tau, qb
0.00000000,15.09546955,4.47115094,19.56662048,0.89313437,0.00036817
833.00000000,14.91713383,4.48650675,19.40364058,0.88601434,0.00036354
1666.00000000,14.74040617,4.50213553,19.24254170,0.87885051,0.00035889
2499.00000000,14.56528429,4.51804452,19.08332881,0.87164260,0.00035424
3332.00000000,14.39176575,4.53424099,18.92600674,0.86439061,0.00034957
4165.00000000,14.21984885,4.55073120,18.77058006,0.85709514,0.00034490
4998.00000000,14.04953256,4.56752032,18.61705288,0.84975740,0.00034023
5831.00000000,13.88081598,4.58461283,18.46542881,0.84237890,0.00033555
6664.00000000,13.71369769,4.60201323,18.31571092,0.83496114,0.00033086
7497.00000000,13.54817530,4.61972647,18.16790177,0.82750546,0.00032618
8330.00000000,13.38424530,4.63775818,18.02200348,0.82001298,0.00032149
9163.00000000,13.22190320,4.65611456,17.87801776,0.81248466,0.00031681
9996.00000000,13.06114378,4.67480217,17.73594595,0.80492142,0.00031213
10829.00000000,12.90196119,4.69382781,17.59578900,0.79732419,0.00030744
11662.00000000,12.74434904,4.71319845,17.45754749,0.78969392,0.00030277
12495.00000000,12.58830029,4.73292132,17.32122161,0.78203156,0.00029809
13328.00000000,12.43380720,4.75300397,17.18681117,0.77433802,0.00029343
14161.00000000,12.28086123,4.77345443,17.05431566,0.76661413,0.00028876
14994.00000000,12.12945298,4.79428122,16.92373420,0.75886064,0.00028411
15827.00000000,11.97957222,4.81549341,16.79506563,0.75107823,0.00027946
16660.00000000,11.83120784,4.83710064,16.66830848,0.74326749,0.00027483
17493.00000000,11.68434785,4.85911319,16.54346104,0.73542890,0.00027020
18326.00000000,11.53897930,4.88154204,16.42052134,0.72756287,0.00026558
19159.00000000,11.39508822,4.90439898,16.29948720,0.71966966,0.00026097
19992.00000000,11.25265957,4.92769671,16.18035628,0.71174940,0.00025638
20825.00000000,11.11167712,4.95144895,16.06312606,0.70380206,0.00025179
21658.00000000,10.97212337,4.97567060,15.94779398,0.69582743,0.00024722
22491.00000000,10.83397945,5.00037791,15.83435736,0.68782506,0.00024266
23324.00000000,10.69722493,5.02558865,15.72281357,0.67979431,0.00023812
24157.00000000,10.56183767,5.05132235,15.61316003,0.67173420,0.00023358
24990.00000000,10.42779362,5.07760065,15.50539426,0.66364345,0.00022906
25823.00000000,10.29506603,5.10444805,15.39951407,0.65552023,0.00022455
26656.00000000,10.16358682,5.13193369,15.29552051,0.64734846,0.00022004
27489.00000000,10.03003344,5.16362278,15.19365623,0.63798584,0.00021491
28322.00000000,9.65669737,5.45300595,15.10970333,0.55567464,0.00017161
29155.00000000,6.71083494,8.40455144,15.11538637,0.19973570,0.00002824
29988.00000000,4.54839026,10.56539320,15.11378346,0.11977004,0.00000929
30821.00000000,4.19821791,10.90797020,15.10618811,0.11144765,0.00000774
31654.00000000,3.99464129,11.10405369,15.09869498,0.10692051,0.00000694
32487.00000000,3.79957205,11.29202616,15.09159821,0.10281504,0.00000624
33320.00000000,3.60751896,11.47735759,15.08487656,0.09898385,0.00000561
34153.00000000,3.41793212,11.66056941,15.07850153,0.09539374,0.00000504
34986.00000000,3.23048640,11.84196111,15.07244750,0.09201970,0.00000452
35819.00000000,3.04491580,12.02177575,15.06669155,0.08884072,0.00000405
36652.00000000,2.86099711,12.20021593,15.06121303,0.08583884,0.00000362
37485.00000000,2.67854091,12.37745241,15.05599332,0.08299859,0.00000323
38318.00000000,2.49738496,12.55363054,15.05101549,0.08030647,0.00000288
39151.00000000,2.31738908,12.72887509,15.04626417,0.07775065,0.00000255
39984.00000000,2.13843123,12.90329404,15.04172526,0.07532070,0.00000225
40817.00000000,1.96040434,13.07698156,15.03738590,0.07300730,0.00000198
41650.00000000,1.78321381,13.25002041,15.03323422,0.07080216,0.00000174
42483.00000000,1.60677542,13.42248392,15.02925934,0.06869781,0.00000151
43316.00000000,1.43101354,13.59443763,15.02545117,0.06668750,0.00000131
44149.00000000,1.25585967,13.76594075,15.02180042,0.06476513,0.00000112
44982.00000000,1.08125103,13.93704742,15.01829845,0.06292513,0.00000095
45815.00000000,0.90712926,14.10780800,15.01493726,0.06116239,0.00000080
46648.00000000,0.73343907,14.27827035,15.01170941,0.05947225,0.00000066
47481.00000000,0.56012669,14.44848130,15.00860799,0.05785040,0.00000053
48314.00000000,0.38713793,14.61848862,15.00562654,0.05629282,0.00000042
49147.00000000,0.21441531,14.78834376,15.00275908,0.05479579,0.00000033
49980.00000000,0.04189349,14.95810651,15.00000000,0.05335575,0.00000024
