x, eta, H, tau, qb
0.00000000,92.74857932,0.73974199,0.20968705,0.01097432
100.00000000,91.34545159,0.74254393,0.20784547,0.01078851
200.00000000,89.97746158,0.74539744,0.20599364,0.01060274
300.00000000,88.60953276,0.74828258,0.20414516,0.01041837
400.00000000,87.27654310,0.75122205,0.20228615,0.01023405
500.00000000,85.94367750,0.75417974,0.20043992,0.01005208
600.00000000,84.64537341,0.75719410,0.19858299,0.00987016
700.00000000,83.34725667,0.76021216,0.19674831,0.00969151
800.00000000,82.08314886,0.76328871,0.19490289,0.00951291
900.00000000,80.81929079,0.76635347,0.19308903,0.00933845
1000.00000000,79.58872087,0.76947793,0.19126456,0.00916406
1100.00000000,78.35846087,0.77257433,0.18948068,0.00899461
1200.00000000,77.16060931,0.77573096,0.18768646,0.00882525
1300.00000000,75.96312432,0.77884266,0.18594144,0.00866156
1400.00000000,74.79702076,0.78201440,0.18418651,0.00849798
1500.00000000,73.63133562,0.78512400,0.18248884,0.00834072
1600.00000000,72.49587132,0.78829270,0.18078181,0.00818359
1700.00000000,71.36087140,0.79138201,0.17913942,0.00803335
1800.00000000,70.25481376,0.79452870,0.17748836,0.00788326
1900.00000000,69.14925957,0.79757905,0.17590851,0.00774053
2000.00000000,68.07126818,0.80068431,0.17432078,0.00759796
2100.00000000,66.99381167,0.80367692,0.17280995,0.00746313
2200.00000000,65.94245581,0.80672129,0.17129211,0.00732848
2300.00000000,64.89165809,0.80963769,0.16985587,0.00720182
2400.00000000,63.86543515,0.81260209,0.16841356,0.00707537
2500.00000000,62.83978519,0.81542456,0.16705651,0.00695708
2600.00000000,61.83713970,0.81829079,0.16569435,0.00683901
2700.00000000,60.83507359,0.82100283,0.16442003,0.00672917
2800.00000000,59.85441643,0.82375404,0.16314156,0.00661957
2900.00000000,58.87433689,0.82634079,0.16195243,0.00651817
3000.00000000,57.91406424,0.82896189,0.16076009,0.00641702
3100.00000000,56.95435978,0.83141054,0.15965751,0.00632395
3200.00000000,56.01287142,0.83388867,0.15855261,0.00623115
3300.00000000,55.07193490,0.83618875,0.15753685,0.00614623
3400.00000000,54.14765147,0.83851352,0.15651960,0.00606158
3500.00000000,53.22389750,0.84065718,0.15558990,0.00598456
3600.00000000,52.31527642,0.84282097,0.15465945,0.00590781
3700.00000000,51.40715738,0.84480308,0.15381408,0.00583836
3800.00000000,50.51270696,0.84680109,0.15296860,0.00576918
3900.00000000,49.61872725,0.84861930,0.15220496,0.00570693
4000.00000000,48.73701900,0.85044960,0.15144173,0.00564494
4100.00000000,47.85574730,0.85210422,0.15075645,0.00558947
4200.00000000,46.98542608,0.85376759,0.15007201,0.00553426
4300.00000000,46.11550549,0.85526144,0.14946109,0.00548513
4400.00000000,45.25529748,0.85676121,0.14885133,0.00543624
4500.00000000,44.39545343,0.85809933,0.14831028,0.00539298
4600.00000000,43.54417189,0.85944103,0.14777060,0.00534994
4700.00000000,42.69321781,0.86063035,0.14729456,0.00531208
4800.00000000,41.84976680,0.86182139,0.14682002,0.00527442
4900.00000000,41.00660763,0.86287038,0.14640388,0.00524147
5000.00000000,40.16998361,0.86391965,0.14598932,0.00520872
5100.00000000,39.33361734,0.86483791,0.14562789,0.00518022
5200.00000000,38.50290901,0.86575539,0.14526805,0.00515189
5300.00000000,37.67242635,0.86655327,0.14495614,0.00512738
5400.00000000,36.84681289,0.86734966,0.14464577,0.00510303
5500.00000000,36.02139535,0.86803792,0.14437831,0.00508208
5600.00000000,35.20014331,0.86872424,0.14411230,0.00506127
5700.00000000,34.37905997,0.86931374,0.14388437,0.00504346
5800.00000000,33.56151902,0.86990106,0.14365781,0.00502578
5900.00000000,32.74412220,0.87040246,0.14346479,0.00501074
6000.00000000,31.92972011,0.87090160,0.14327300,0.00499580
6100.00000000,31.11544023,0.87132518,0.14311054,0.00498316
6200.00000000,30.30367721,0.87174653,0.14294919,0.00497062
6300.00000000,29.49201708,0.87210197,0.14281329,0.00496006
6400.00000000,28.68245983,0.87245531,0.14267837,0.00494959
6500.00000000,27.87298857,0.87275162,0.14256536,0.00494082
6600.00000000,27.06526409,0.87304601,0.14245322,0.00493213
6700.00000000,26.25761097,0.87329145,0.14235982,0.00492489
6800.00000000,25.45140040,0.87353516,0.14226716,0.00491771
6900.00000000,24.64524867,0.87373718,0.14219042,0.00491177
7000.00000000,23.84028135,0.87393767,0.14211432,0.00490588
7100.00000000,23.03536222,0.87410291,0.14205164,0.00490103
7200.00000000,22.23140991,0.87426682,0.14198951,0.00489623
7300.00000000,21.42749682,0.87440114,0.14193862,0.00489230
7400.00000000,20.62436837,0.87453432,0.14188819,0.00488840
7500.00000000,19.82127162,0.87464284,0.14184711,0.00488522
7600.00000000,19.01880793,0.87475039,0.14180642,0.00488208
7700.00000000,18.21636970,0.87483751,0.14177347,0.00487954
7800.00000000,17.41443920,0.87492383,0.14174084,0.00487702
7900.00000000,16.61252903,0.87499333,0.14171457,0.00487499
8000.00000000,15.81102356,0.87506216,0.14168856,0.00487298
8100.00000000,15.00953422,0.87511724,0.14166776,0.00487137
8200.00000000,14.20836537,0.87517177,0.14164716,0.00486978
8300.00000000,13.40720923,0.87521510,0.14163080,0.00486852
8400.00000000,12.60630510,0.87525799,0.14161460,0.00486727
8500.00000000,11.80541090,0.87529180,0.14160184,0.00486629
8600.00000000,11.00471323,0.87532524,0.14158922,0.00486531
8700.00000000,10.20402325,0.87535135,0.14157936,0.00486455
8800.00000000,9.40348497,0.87537716,0.14156962,0.00486380
8900.00000000,8.60295257,0.87539704,0.14156212,0.00486322
9000.00000000,7.80253561,0.87541668,0.14155471,0.00486265
9100.00000000,7.00212308,0.87543149,0.14154912,0.00486222
9200.00000000,6.20179653,0.87544611,0.14154361,0.00486179
9300.00000000,5.40147323,0.87545677,0.14153959,0.00486148
9400.00000000,4.60121171,0.87546726,0.14153563,0.00486118
9500.00000000,3.80095246,0.87547443,0.14153293,0.00486097
9600.00000000,3.00073468,0.87548146,0.14153027,0.00486077
9700.00000000,2.20051834,0.87548560,0.14152871,0.00486065
9800.00000000,1.40032584,0.87548963,0.14152719,0.00486053
9900.00000000,0.60013403,0.87549101,0.14152667,0.00486049
10000.00000000,-0.20005000,0.87549229,0.14152619,0.00486045
