x, eta, H, ksi, tau, qb
0.00000000,16.15067891,4.46845724,20.61913614,0.89439216,0.00036899
833.00000000,15.97447687,4.48103580,20.45551267,0.88854213,0.00036518
1666.00000000,15.79963442,4.49380073,20.29343515,0.88266107,0.00036136
2499.00000000,15.62615389,4.50675314,20.13290703,0.87675033,0.00035753
3332.00000000,15.45403777,4.51989351,19.97393128,0.87081151,0.00035370
4165.00000000,15.28328804,4.53322233,19.81651037,0.86484614,0.00034987
4998.00000000,15.11390583,4.54674053,19.66064636,0.85885548,0.00034603
5831.00000000,14.94589124,4.56044970,19.50634094,0.85284054,0.00034219
6664.00000000,14.77924348,4.57435207,19.35359555,0.84680204,0.00033835
7497.00000000,14.61396107,4.58845029,19.20241137,0.84074056,0.00033451
8330.00000000,14.45004214,4.60274721,19.05278935,0.83465663,0.00033067
9163.00000000,14.28748464,4.61724562,18.90473026,0.82855089,0.00032684
9996.00000000,14.12628644,4.63194813,18.75823456,0.82242407,0.00032300
10829.00000000,13.96644530,4.64685718,18.61330248,0.81627698,0.00031917
11662.00000000,13.80795881,4.66197511,18.46993391,0.81011051,0.00031534
12495.00000000,13.65082423,4.67730427,18.32812850,0.80392554,0.00031151
13328.00000000,13.49503845,4.69284711,18.18788556,0.79772293,0.00030769
14161.00000000,13.34059791,4.70860627,18.04920418,0.79150348,0.00030387
14994.00000000,13.18749865,4.72458449,17.91208314,0.78526797,0.00030006
15827.00000000,13.03573631,4.74078470,17.77652100,0.77901714,0.00029626
16660.00000000,12.88530620,4.75720987,17.64251607,0.77275173,0.00029247
17493.00000000,12.73620332,4.77386307,17.51006640,0.76647247,0.00028868
18326.00000000,12.58842234,4.79074746,17.37916980,0.76018010,0.00028490
19159.00000000,12.44195759,4.80786627,17.24982386,0.75387533,0.00028113
19992.00000000,12.29680307,4.82522285,17.12202592,0.74755888,0.00027737
20825.00000000,12.15295240,4.84282070,16.99577310,0.74123142,0.00027362
21658.00000000,12.01039884,4.86066346,16.87106230,0.73489361,0.00026988
22491.00000000,11.86913526,4.87875496,16.74789022,0.72854609,0.00026616
23324.00000000,11.72915417,4.89709919,16.62625335,0.72218944,0.00026244
24157.00000000,11.59044768,4.91570032,16.50614799,0.71582425,0.00025874
24990.00000000,11.45300752,4.93456275,16.38757027,0.70945103,0.00025505
25823.00000000,11.31682504,4.95369110,16.27051614,0.70307030,0.00025137
26656.00000000,11.18189114,4.97309024,16.15498138,0.69668252,0.00024771
27489.00000000,11.04819634,4.99276530,16.04096164,0.69028808,0.00024406
28322.00000000,10.91573067,5.01272176,15.92845242,0.68388736,0.00024043
29155.00000000,10.78448372,5.03296539,15.81744911,0.67748066,0.00023681
29988.00000000,10.65444461,5.05350238,15.70794699,0.67106822,0.00023321
30821.00000000,10.52560192,5.07433932,15.59994124,0.66465022,0.00022962
31654.00000000,10.39794372,5.09548325,15.49342698,0.65822676,0.00022605
32487.00000000,10.27145749,5.11694178,15.38839927,0.65179786,0.00022249
33320.00000000,10.14612998,5.13872317,15.28485315,0.64536340,0.00021895
34153.00000000,10.02192446,5.16086087,15.18278533,0.63891524,0.00021542
34986.00000000,9.89295759,5.18965724,15.08261484,0.63045901,0.00021082
35819.00000000,8.86554832,6.16647435,15.03202267,0.41110208,0.00010393
36652.00000000,4.02859719,11.03126653,15.05986372,0.10718919,0.00000699
37485.00000000,2.80881792,12.24781462,15.05663254,0.08503124,0.00000351
38318.00000000,2.59222317,12.45936536,15.05158853,0.08173041,0.00000306
39151.00000000,2.40315513,12.64358800,15.04674313,0.07897960,0.00000271
39984.00000000,2.21642446,12.82569878,15.04212324,0.07638802,0.00000238
40817.00000000,2.03136807,13.00634656,15.03771463,0.07393560,0.00000209
41650.00000000,1.84778605,13.18571769,15.03350373,0.07161028,0.00000183
42483.00000000,1.66551166,13.36396653,15.02947819,0.06940163,0.00000159
43316.00000000,1.48439946,13.54122728,15.02562674,0.06730046,0.00000137
44149.00000000,1.30432098,13.71761806,15.02193903,0.06529865,0.00000117
44982.00000000,1.12516131,13.89324429,15.01840561,0.06338895,0.00000099
45815.00000000,0.94681607,14.06820165,15.01501772,0.06156487,0.00000083
46648.00000000,0.76918854,14.24257878,15.01176732,0.05982054,0.00000069
47481.00000000,0.59218678,14.41646020,15.00864698,0.05815063,0.00000056
48314.00000000,0.41572018,14.58992962,15.00564980,0.05655024,0.00000044
49147.00000000,0.23969483,14.76307461,15.00276944,0.05501486,0.00000034
49980.00000000,0.06400635,14.93599365,15.00000000,0.05354023,0.00000025
